company_code,company_name,indicator_code,official_domain,domain_status,next_action,authority_policy
000543.SZ,皖能电力,Q_E_HAZ_WASTE_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_NOX_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_PM_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_SO2_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_WASTEWATER_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_WATER_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_ASSET_TURNOVER,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_CAPITAL_ACCUMULATION,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_CASH_CURRENT_LIABILITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_CASH_REALIZATION,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_COST_REVENUE_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_CURRENT_ASSET_TURNOVER,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_EBITDA_INTEREST,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_EBITDA_MARGIN,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_OPERATING_MARGIN,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_OPERATING_PROFIT_GROWTH,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_QUICK_RATIO,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_ROA,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_G_TWO_FUNDS_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_S_BENEFIT_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_S_EDU_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_S_ENV_INVEST_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_S_PAY_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_S_SAFETY_INVEST_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000554.SZ,泰山石油,Q_E_ALTERNATIVE_WATER_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000554.SZ,泰山石油,Q_E_CLEAN_ENERGY_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000554.SZ,泰山石油,Q_E_ENERGY_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000554.SZ,泰山石油,Q_E_GHG_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000554.SZ,泰山石油,Q_E_HAZ_WASTE_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
