company_code,company_name,indicator_code,value,source,industry,sample_count
00042.HK,NE ELECTRIC,Q_S_ENV_INVEST_RATE,3.0,industry_median,Unknown,61
00042.HK,NE ELECTRIC,Q_S_RD_RATE,22.46,industry_median,Unknown,513
00042.HK,NE ELECTRIC,Q_S_DONATION_RATE,0.0101674609757,industry_median,Unknown,270
00042.HK,NE ELECTRIC,Q_S_PAY_PER_EMPLOYEE,194.0,industry_median,Unknown,515
00042.HK,NE ELECTRIC,Q_S_BENEFIT_PER_EMPLOYEE,1.80888375219,industry_median,Unknown,83
00042.HK,NE ELECTRIC,Q_S_EDU_PER_EMPLOYEE,134.0,industry_median,Unknown,222
00042.HK,NE ELECTRIC,Q_S_DIVIDEND_PER_SHARE,0.147,industry_median,Unknown,375
00042.HK,NE ELECTRIC,Q_G_ROE,6.38,industry_median,Unknown,444
00042.HK,NE ELECTRIC,Q_G_ROA,4.82964985516,industry_median,Unknown,214
00042.HK,NE ELECTRIC,Q_G_OPERATING_MARGIN,7.79810136571,industry_median,Unknown,243
00042.HK,NE ELECTRIC,Q_G_CASH_REALIZATION,106.674299656,industry_median,Unknown,286
00042.HK,NE ELECTRIC,Q_G_COST_REVENUE_RATE,95.1661055048,industry_median,Unknown,302
00042.HK,NE ELECTRIC,Q_G_ASSET_TURNOVER,0.560300474692,industry_median,Unknown,468
00042.HK,NE ELECTRIC,Q_G_AR_TURNOVER,4.48125793763,industry_median,Unknown,445
00042.HK,NE ELECTRIC,Q_G_CURRENT_ASSET_TURNOVER,1.12902751944,industry_median,Unknown,384
00042.HK,NE ELECTRIC,Q_G_TWO_FUNDS_RATE,45.9690973056,industry_median,Unknown,383
00042.HK,NE ELECTRIC,Q_G_DEBT_ASSET_RATE,53.2037440027,industry_median,Unknown,524
00042.HK,NE ELECTRIC,Q_G_QUICK_RATIO,116.836108816,industry_median,Unknown,353
00042.HK,NE ELECTRIC,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_median,Unknown,208
00042.HK,NE ELECTRIC,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_median,Unknown,115
