rank,company_code,company_name,esg_score,quantitative_score,qualitative_score,e_score,s_score,g_score,indicator_count,extracted_count,calculated_count,filled_count
146,000637.SZ,茂化实华,40.45357562721788,50.56696953402235,0,51.57082417443911,55.32184212862903,46.727577521731455,38,8,0,30
147,300569.SZ,天能重工,40.44373792988924,50.55467241236154,0,51.70496826133959,52.73379047778268,47.83234796824741,42,16,2,24
148,920627.BJ,力王股份,40.44333597948324,50.55416997435404,0,51.57082417443911,53.78629501125401,47.34283554105907,37,6,0,31
149,00866.HK,CHINA QINFA,40.43626641669956,50.545333020874445,0,51.57082417443911,47.04144807043,51.12476636466323,38,7,0,31
150,301163.SZ,宏德股份,40.4268834579855,50.533604322481864,0,51.57082417443911,53.94465650310523,47.48833435545642,38,14,0,24
151,002580.SZ,圣阳股份,40.42636162998795,50.53295203748493,0,51.57082417443911,51.688101934049094,48.806559608382486,39,15,0,24
152,603693.SH,江苏新能,40.42283789609443,50.528547370118034,0,51.66002672861201,58.38151360906717,45.56052614262626,42,27,1,14
153,000096.SZ,广聚能源,40.40940815797111,50.51176019746388,0,51.57082417443911,50.59729018410428,49.5608187953714,38,23,0,15
154,300140.SZ,节能环境,40.40282172436372,50.50352715545464,0,51.66186654457255,45.86068114649075,51.99733823034695,39,13,1,25
155,00951.HK,CHAOWEI POWER,40.40220245502043,50.50275306877553,0,50.849376482968644,47.04144807043,51.730169400577886,38,9,1,28
156,300360.SZ,炬华科技,40.39817309993382,50.497716374917275,0,51.57082417443911,54.68861694668139,46.82608697099492,38,14,0,24
157,300827.SZ,上能电气,40.393788523988576,50.49223565498572,0,51.57082417443911,47.11438715460916,51.30701672364815,40,13,0,27
158,688819.SH,天能股份,40.37945499243247,50.47431874054059,0,47.57511917579823,55.02288628452641,51.271253054977436,47,39,0,8
159,600025.SH,华能水电,40.37628146706527,50.47035183383158,0,51.57082417443911,47.79248487610343,50.897218354910514,38,22,0,16
160,300870.SZ,欧陆通,40.37622289854696,50.4702786231837,0,51.57082417443911,49.02040260466629,50.26782916087066,38,16,0,22
161,002527.SZ,新时达,40.36348901227529,50.454361265344104,0,51.556698771351094,47.23450305706926,51.15319383403486,40,16,0,24
162,002128.SZ,电投能源,40.362218841752885,50.452773552191104,0,48.85869760973301,58.2183879859915,47.717221201478054,50,31,1,18
163,300648.SZ,星云股份,40.35306467296817,50.44133084121021,0,51.57082417443911,53.02756035657689,48.08230651763711,39,21,0,18
164,01407.HK,JY GAS,40.31002837607646,50.38753547009557,0,51.94880111669543,47.04144807043,50.11933763116071,37,12,0,25
165,001208.SZ,华菱线缆,40.306436140525065,50.38304517565633,0,51.57082417443911,46.547673597056715,51.58024497410761,38,11,0,27
166,300274.SZ,阳光电源,40.287616505742164,50.359520632177706,0,49.57907993007093,54.70808134737773,48.85681313033404,49,32,0,17
167,002576.SZ,通达动力,40.2798333030679,50.34979162883487,0,51.57082417443911,50.135453569499305,49.12311647332019,38,10,0,28
168,300222.SZ,科大智能,40.275426590707525,50.3442832383844,0,51.57082417443911,46.05583516667461,51.839264894730306,39,16,0,23
169,920639.BJ,晨光电缆,40.275254069373574,50.34406758671696,0,51.57082417443911,56.49302274499225,45.34427301636823,37,8,0,29
170,003022.SZ,联泓新科,40.27093611407219,50.33867014259024,0,51.57082417443911,53.672433590368684,46.89739215044891,39,12,0,27
