stock_code,company_name,exchange,current_sub_industry,snapshot_industry,entity_id,industry_status,entity_status,priority,next_action,snapshot_source_url,snapshot_as_of_date
01623.HK,HILONG,HKEX,历史能源样本待复核,待分类,01623.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01713.HK,SICHUAN EN INV,HKEX,历史能源样本待复核,待分类,01713.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01733.HK,E-COMMODITIES,HKEX,历史能源样本待复核,待分类,01733.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01738.HK,FS ANTHRACITE,HKEX,历史能源样本待复核,待分类,01738.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01798.HK,DATANG RENEW,HKEX,历史能源样本待复核,待分类,01798.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01799.HK,XINTE ENERGY,HKEX,历史能源样本待复核,待分类,01799.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01811.HK,CGN NEW ENERGY,HKEX,历史能源样本待复核,待分类,01811.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01878.HK,SOUTHGOBI,HKEX,历史能源样本待复核,待分类,01878.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01921.HK,DALIPAL HLDG,HKEX,历史能源样本待复核,待分类,01921.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01938.HK,CHU KONG PIPE,HKEX,历史能源样本待复核,待分类,01938.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01940.HK,CGII HLDGS,HKEX,历史能源样本待复核,待分类,01940.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02012.HK,SUNSHINE OIL,HKEX,历史能源样本待复核,待分类,02012.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02178.HK,PETRO-KING,HKEX,历史能源样本待复核,待分类,02178.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02236.HK,WISON ENGRG,HKEX,历史能源样本待复核,待分类,02236.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02380.HK,CHINA POWER,HKEX,历史能源样本待复核,待分类,02380.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02386.HK,SINOPEC SEG,HKEX,历史能源样本待复核,待分类,02386.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02688.HK,ENN ENERGY,HKEX,历史能源样本待复核,待分类,02688.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02728.HK,JINTAI ENERGY H,HKEX,历史能源样本待复核,待分类,02728.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
02798.HK,PER ENERGY,HKEX,历史能源样本待复核,待分类,02798.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03303.HK,JUTAL OIL SER,HKEX,历史能源样本待复核,待分类,03303.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03337.HK,ANTON OILFIELD,HKEX,历史能源样本待复核,待分类,03337.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03395.HK,JX ENERGY,HKEX,历史能源样本待复核,待分类,03395.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03633.HK,ZHONGYU ENERGY,HKEX,历史能源样本待复核,待分类,03633.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03668.HK,YANCOAL AUS,HKEX,历史能源样本待复核,待分类,03668.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03800.HK,GCL TECH,HKEX,历史能源样本待复核,待分类,03800.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
03868.HK,XINYI ENERGY,HKEX,历史能源样本待复核,待分类,03868.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
