thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
46,13,3088,66.711806,76,297,221,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002335.SZ,科华数据,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/002335.SZ/2025/annual_report.txt,False
47,13,3089,66.711806,181,294,113,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002452.SZ,长高电气,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/002452.SZ/2025/annual_report.txt,False
48,13,3090,66.711806,136,249,113,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002479.SZ,富春环保,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/002479.SZ/2025/annual_report.txt,False
49,13,3091,66.711806,174,296,122,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002487.SZ,大金重工,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,1,data/text/002487.SZ/2025/annual_report.txt,False
50,13,3092,66.711806,191,447,256,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002506.SZ,协鑫集成,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2,related_fields_incomplete,,2,data/text/002506.SZ/2025/annual_report.txt|data/text/002506.SZ/2025/esg_report.txt,False
51,7,700,81.663194,67,231,164,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00002.HK,CLP HOLDINGS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"CLP has been strengthening efforts to cut air emissions and improve water and waste management. The Group reduced emissions of nitrogen oxides (NOx), sulphur dioxide (SO2) and particulate matter (PM) in 2025 by 12%, 0.2% and 14% respectively from 2024 due to diversification of fuel mix and improved air emissions controls for its generation assets across Hong Kong, the Chinese Mainland and Australia. CLP achieved its 2025 air emissions reduction targets and will focus on further performance impro",1,data/text/hkex_reports/00002.HK/2025/annual_report.txt,False
52,7,701,81.663194,45,371,326,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00003.HK,HK & CHINA GAS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"2,441 Non-hazardous waste Tonnes 279,145 282,530 280,820 368,734 359,085 Air Emissions 5) Nitrogen oxides (NOx) Tonnes 164.0 157.4 184.0 175.9 190.0 Sulphur dioxides (SOx) Tonnes 96.1 105.1 89.0 133.6 256.6 Respirable suspended Tonnes 16.1 15.1 2.6 4.6 2.6 particulates (PM10) Packaging Material Use 6) Total packaging Tonnes 1,216 1,186 – – – Weight intensity kg/piece 1.8 1.8 – – – Note: 1) The categorisation of energy consumption has been revised, historical numbers are restated accordingly. 2) ",2,data/text/00003.HK/2025/annual_report.txt|data/text/hkex_reports/00003.HK/2025/esg_report.txt,False
53,7,702,81.663194,51,449,398,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,00006.HK,POWER ASSETS,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"ustion technologies, flue gas desulfurisation units, and high efficiency electrostatic precipitators, the station consistently minimises emissions of sulphur dioxide (SO2), NOx and Respirable Suspended Particulates (RSP). These proven technologies form a durable, future ready approach to air quality management that remains effective and relevant over time. 105 === PAGE 55 === Power Assets Holdings Limited | Sustainability Report 2025 Biodiversity and Nature Management The Group addresses biodive",2,data/text/hkex_reports/00006.HK/2025/annual_report.txt|data/text/hkex_reports/00006.HK/2025/esg_report.txt,False
54,7,703,81.663194,108,285,177,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000096.SZ,广聚能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/000096.SZ/2025/annual_report.txt,False
55,7,704,81.663194,171,399,228,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000543.SZ,皖能电力,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"煤电机组节能降碳改造、灵活性改造、集中供热改造“三改联动”，持续提升 清洁生产水平。 运输污染防控 燃料运输采用皮带和火车方式。 对于灰渣、石膏及石粉等物料的运输车辆，新签约用户须使用国六标准车辆，原有用户车 辆须符合国五及以上排放标准。 入厂非道路移动机械（包括挖掘机、起重机、推土机、装载机、叉车等）须持有环保部门核 发的环保登记编码。 积极向运输单位宣贯柴油车尾气深度治理工作方案，有效推动国四、国五重中型柴油车 深度治理工作落实。 大气污染物排放信息 污染物名称 年度排放总量（吨） 排放强度（吨/百万营收） 案例 颗粒物 771.11 0.03 氮氧化物 9,437.47 0.35 淮北国安公司机组超净排放改造助力蓝天保卫战 二氧化硫 4,505.06 0.16 挥发性有机物 3.16 0.0001 2025年10月，淮北国安公司1号机组一次性并网成 功，该公司“脱硫提效”“超净排放”“运行灵活性”三 大改造项目全面完成。改造后，机组烟尘、二氧化硫、 氮氧化物排放浓度得到稳定控制，污染物排放总量 同比下降60%。 汞及其化合物 2.86 0.0001 一氧化碳 83.11 0.",2,data/text/000543.SZ/2025/annual_report.txt|data/text/000543.SZ/2025/esg_report.txt,False
56,7,705,81.663194,191,472,281,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000554.SZ,泰山石油,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,2,data/text/000554.SZ/2025/annual_report.txt|data/text/000554.SZ/2025/esg_report.txt,False
57,7,706,81.663194,155,426,271,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000682.SZ,东方电子,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,32327。目前海颐软件为电力、能源、电子政务、交通运输等行业客户提供软件产品、技 术服务和大数据应用。拥有 CMMIL5 资质、ITSS 信息技术服务运行维护标准符合性三级认 证（ITSSL3）、电力需求侧管理服务机构能力一级认证，先后通过 ISO9001、ISO14001、 ISO45001、ISO27001 和 ISO20000 认证，通过软件企业认证、高新技术企业认定。 报告期内，受市场竞争加剧，产品交付周期增长，成本上升，毛利降低，自身业务转 型调整等多重因素影响，海颐软件实现营业收入 8.22 亿元，较去年同期减少 12.92%；净 利润 0.32 亿元，较去年同期减少 69.52%。 公司全资子公司威思顿产业聚焦数字电力、智慧能源、数智工厂三大业务领域，是集 产品研发、生产、服务和销售于一体的国家级重点高新技术企业。面向海内外市场，布局 用电、配电、新能源及综合能源管理、微电网、数字化智能工厂等八大业务方向，深入实 施“以技术创新为先导、以客户价值为目标”产品领先战略，创新发展推动产业升级，为 电网数字化转型、新型能源体系建设及企业智能制造赋能。 报告期内，威思顿用电领域,1,data/text/000682.SZ/2025/annual_report.txt,False
58,7,707,81.663194,136,314,178,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,000791.SZ,甘肃能源,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"特征 主要污染 物及特征 排放方 式 排放口 数量 排放 口分 排放浓 度/强 执行的污染物排放 标准 排放总量 核定的排放总量 超标排 放情况 50 === PAGE 51 === 甘肃电投能源发展股份有限公司 2025 年年度报告全文 公司 名称 污染物的 种类 污染物的 名称 布情 况 度 二氧化硫 常乐 公司 大气污染 物 氮氧化物 烟气经 环保设 施处理 后通过 烟囱排 至大气 烟尘 1-2 号 机组、 3-4 号 机组、 5-6 号 机组、 启动锅 炉共 7 个排放 口 20.39m g/m³ 厂区 内 37.46m g/m³ 1.54mg /m³ 执行《火电厂大气 污染物排放标准》 GB13223-2011 的 标 准，按照超低排放 的 浓 度 限 值 执 行 （ 二 氧 化 硫 浓 度 35mg/m³ ，氮氧化物 浓 度 50mg/m ³ ， 烟 尘浓度 10mg/m³） 年 排 放 总 量 1,525.13 吨 年许可排放量限值 3,737 吨 年 排 放 总 量 2,708.82 吨 年许可排放量限值 5,397 吨 全 年 各 项 污 染 物 全 部 达 标 排 ",2,data/text/000791.SZ/2025/annual_report.txt|data/text/000791.SZ/2025/esg_report.txt,False
59,7,708,81.663194,139,334,195,True,1.0,1.0,0.275556,1.0,0.977431,13,0.992,001208.SZ,华菱线缆,Q_E_SO2_INTENSITY,二氧化硫排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/001208.SZ/2025/annual_report.txt,False
