company_code,company_name,official_domain,candidate_url,evidence_file,evidence_count,verification_status,next_action
002202.SZ,金风科技,hkexnews.hk,https://www.hkexnews.hk,data/text/002202.SZ/2025/annual_report.txt,3,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002202.SZ,金风科技,plcsj.cn,http://www.plcsj.cn/public/SignIn.php,data/text/002202.SZ/2025/annual_report.txt,6,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002202.SZ,金风科技,xxpl.xjpmic.cn,https://xxpl.xjpmic.cn,data/text/002202.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002202.SZ,金风科技,ywxt.sthjt.jiangsu.gov.c,http://ywxt.sthjt.jiangsu.gov.c,data/text/002202.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002218.SZ,拓日新能,topraysolar.com,https://www.topraysolar.com,data/text/002218.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002221.SZ,东华能源,www-app.gdeei.cn,https://www-app.gdeei.cn/gdeepub/front/dal/report/list,data/text/002221.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002245.SZ,蔚蓝锂芯,azurecorp.com,https://www.azurecorp.com,data/text/002245.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002245.SZ,蔚蓝锂芯,irm.cninfo.com.c,http://irm.cninfo.com.c,data/text/002245.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002249.SZ,大洋电机,broad-ocean.com,http://www.broad-ocean.com,data/text/002249.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002255.SZ,海陆重工,hailu-boiler.cn,http://www.hailu-boiler.cn,data/text/002255.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002270.SZ,华明装备,huaming.com,http://www.huaming.com/article/18_944.html,data/text/002270.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002276.SZ,万马股份,irm.cninf,http://irm.cninf,data/text/002276.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002276.SZ,万马股份,wanmaco.com,http://www.wanmaco.com,data/text/002276.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00228.HK,CHINA ENERGY,cnenergy.com.hk,http://www.cnenergy.com.hk,data/text/hkex_reports/00228.HK/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00228.HK,CHINA ENERGY,hkexnews.hk,http://www.hkexnews.hk,data/text/hkex_reports/00228.HK/2025/esg_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002300.SZ,太阳电缆,npcable.com,https://www.npcable.com,data/text/002300.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002309.SZ,中利集团,zhongli.com,http://www.zhongli.com,data/text/002309.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002339.SZ,积成电子,cninfo.com,https://www.cninfo.com.,data/text/002339.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002339.SZ,积成电子,ir.p5w.net,https://ir.p5w.net,data/text/002339.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002340.SZ,格林美,gem.com.cn,http://www.gem.com.cn,data/text/002340.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002340.SZ,格林美,ir.p5w,https://ir.p5w,data/text/002340.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002350.SZ,北京科锐,002350.ir-online.com.cn,https://002350.ir-online.com.cn/,data/text/002350.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002350.SZ,北京科锐,creat-gr.com,https://www.creat-gr.com,data/text/002350.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002358.SZ,森源电气,hnsyec.com,http://www.hnsyec.com,data/text/002358.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002366.SZ,融发核电,ir.p5w,https://ir.p5w,data/text/002366.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002366.SZ,融发核电,irm.cnin,http://irm.cnin,data/text/002366.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002441.SZ,众业达,cs.com.cn,http://www.cs.com.cn,data/text/002441.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002441.SZ,众业达,stcn.com,http://www.stcn.com,data/text/002441.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002441.SZ,众业达,zqrb.cn,http://www.zqrb.cn,data/text/002441.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002451.SZ,摩恩电气,mornelectric.com,http://www.mornelectric.com/,data/text/002451.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002452.SZ,长高电新,ir.p5w,https://ir.p5w.,data/text/002452.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002459.SZ,晶澳科技,bia.hinature.cn,https://bia.hinature.cn,data/text/002459.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002459.SZ,晶澳科技,cninfo.co,http://www.cninfo.co,data/text/002459.SZ/2025/annual_report.txt,7,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002459.SZ,晶澳科技,ibat-alliance.org,https://www.ibat-alliance.org/,data/text/002459.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002459.SZ,晶澳科技,jasolar.com,http://www.jasolar.com,data/text/002459.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002459.SZ,晶澳科技,ywxt.sthjt.ji,http://ywxt.sthjt.ji,data/text/002459.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002487.SZ,大金重工,dajin.cn,https://www.dajin.cn/,data/text/002487.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002490.SZ,山东墨龙,ir.p5w.net,https://ir.p5w.net,data/text/002490.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002490.SZ,山东墨龙,irmcninfo.com.c,http://irmcninfo.com.c,data/text/002490.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002490.SZ,山东墨龙,molonggroup.com,https://www.molonggroup.com,data/text/002490.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002493.SZ,荣盛石化,cninfo.c,http://www.cninfo.c,data/text/002493.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002493.SZ,荣盛石化,cnrspc.com,http://www.cnrspc.com,data/text/002493.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002493.SZ,荣盛石化,qyxxpl.ywzh.lnsthj.cn,https://qyxxpl.ywzh.lnsthj.cn,data/text/002493.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002506.SZ,协鑫集成,cninfo.com,http://www.cninfo.com.,data/text/002506.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002506.SZ,协鑫集成,gclsi.com,http://www.gclsi.com,data/text/002506.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002506.SZ,协鑫集成,irm.cn,http://irm.cn,data/text/002506.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002518.SZ,科士达,qyhjxxyfpl.sthjt.jiangxi.g,http://qyhjxxyfpl.sthjt.jiangxi.g,data/text/002518.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002527.SZ,新时达,cnstock.com,https://www.cnstock.com,data/text/002527.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002527.SZ,新时达,cs.com.cn,https://www.cs.com.cn,data/text/002527.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002527.SZ,新时达,stcn.com,http://www.stcn.com,data/text/002527.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002527.SZ,新时达,zqrb.cn,http://www.zqrb.cn,data/text/002527.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002531.SZ,天顺风能,titanwind.com.cn,https://www.titanwind.com.cn/,data/text/002531.SZ/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002546.SZ,新联电子,irm.cninfo.com.c,http://irm.cninfo.com.c,data/text/002546.SZ/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002546.SZ,新联电子,xldz.com,http://www.xldz.com,data/text/002546.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002606.SZ,大连电瓷,insulators.cn,http://www.insulators.cn,data/text/002606.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002608.SZ,江苏国信,jsgxgf.com,http://www.jsgxgf.com/,data/text/002608.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002608.SZ,江苏国信,ywxt.sthjt.jiangsu.gov,http://ywxt.sthjt.jiangsu.gov.,data/text/002608.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002616.SZ,长青集团,chantgroup.cn,http://www.chantgroup.cn,data/text/002616.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
