thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
25,19,2898,67.065972,174,296,122,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,002487.SZ,大金重工,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
26,13,3068,66.711806,67,231,164,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00002.HK,CLP HOLDINGS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
27,13,3069,66.711806,45,371,326,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00003.HK,HK & CHINA GAS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
28,13,3070,66.711806,51,449,398,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00006.HK,POWER ASSETS,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
29,13,3071,66.711806,108,285,177,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000096.SZ,广聚能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
30,13,3072,66.711806,34,341,307,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000531.SZ,穗恒运Ａ,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
31,13,3073,66.711806,171,399,228,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000543.SZ,皖能电力,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
32,13,3074,66.711806,191,472,281,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000554.SZ,泰山石油,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
33,13,3075,66.711806,155,426,271,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000682.SZ,东方电子,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
34,13,3076,66.711806,136,314,178,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,000791.SZ,甘肃能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
35,13,3077,66.711806,139,334,195,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,001208.SZ,华菱线缆,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
36,13,3078,66.711806,125,249,124,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,001258.SZ,立新能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
37,13,3079,66.711806,113,234,121,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,001299.SZ,美能能源,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
38,13,3080,66.711806,135,298,163,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00182.HK,CONCORD NE,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
39,13,3081,66.711806,11,290,279,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002039.SZ,黔源电力,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
40,13,3082,66.711806,25,385,360,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002056.SZ,横店东磁,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
41,13,3083,66.711806,115,365,250,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,00206.HK,CM-ENERGY,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
42,13,3084,66.711806,172,281,109,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002074.SZ,国轩高科,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
43,13,3085,66.711806,194,321,127,True,1.0,1.0,0.273333,0.0,0.987847,7,0.984,002090.SZ,金智科技,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
