stock_code,historical_stock_code,historical_name,historical_abbr,current_chinese_name,current_chinese_short_name,hsic_sub_sector,continuity_status,industry_review_status,h_share_clue,priority,next_action,evidence_url,resolution_evidence_url,reason
03303.HK,03303.HK,巨涛海洋石油服务有限公司,巨涛海洋石油服务,巨濤海洋石油服務有限公司,巨濤海洋石油服務,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3303,,历史与当前名称不做简繁或模糊自动归并，需证据复核
03337.HK,03337.HK,安东油田服务集团,安东油田服务,安東油田服務集團,安東油田服務,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3337,,历史与当前名称不做简繁或模糊自动归并，需证据复核
03668.HK,03668.HK,兖煤澳大利亚有限公司,兖煤澳大利亚,兗煤澳大利亞有限公司,兗煤澳大利亞,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3668,,历史与当前名称不做简繁或模糊自动归并，需证据复核
03800.HK,03800.HK,协鑫科技控股有限公司,协鑫科技,協鑫科技控股有限公司,協鑫科技,新能源物料,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3800,,历史与当前名称不做简繁或模糊自动归并，需证据复核
03868.HK,03868.HK,信义能源控股有限公司,信义能源,信義能源控股有限公司,信義能源,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3868,,历史与当前名称不做简繁或模糊自动归并，需证据复核
06828.HK,06828.HK,北京燃气蓝天控股有限公司,北京燃气蓝天,北京燃氣藍天控股有限公司,北京燃氣藍天,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6828,,历史与当前名称不做简繁或模糊自动归并，需证据复核
06885.HK,06885.HK,河南金马能源股份有限公司,金马能源,河南金馬能源股份有限公司 - H股,金馬能源,煤炭,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6885,,历史与当前名称不做简繁或模糊自动归并，需证据复核
08132.HK,08132.HK,百能国际能源控股有限公司,百能国际能源,百能國際能源控股有限公司,百能國際能源,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8132,,历史与当前名称不做简繁或模糊自动归并，需证据复核
08270.HK,08270.HK,中国煤层气集团有限公司,中国煤层气,中國煤層氣集團有限公司,中國煤層氣,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8270,,历史与当前名称不做简繁或模糊自动归并，需证据复核
08347.HK,08347.HK,F8企业(控股)集团有限公司,F8企业,F8企業(控股)集團有限公司,Ｆ８企業,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8347,,历史与当前名称不做简繁或模糊自动归并，需证据复核
09689.HK,09689.HK,金泰丰国际控股有限公司,金泰丰国际控股,金泰豐國際控股有限公司,金泰豐國際控股,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=9689,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01798.HK,01798.HK,中国大唐集团新能源股份有限公司,大唐新能源,中國大唐集團新能源股份有限公司 - H股,大唐新能源,非傳統/ 可再生能源,exact_short_name,proposed,True,3,review_ah_relationship,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1798,,公司简称字符级一致
01799.HK,01799.HK,新特能源股份有限公司,新特能源,新特能源股份有限公司 - H股,新特能源,新能源物料,exact_name,proposed,True,3,review_ah_relationship,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1799,,去除组织形式和H股后缀后名称字符级一致
00228.HK,00228.HK,中国能源开发控股有限公司,中能控股,中國能源開發控股有限公司,中能控股,油氣生產商,exact_short_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=228,,公司简称字符级一致
00276.HK,00276.HK,蒙古能源有限公司,蒙古能源,蒙古能源有限公司,蒙古能源,煤炭,exact_name,proposed,False,9,continuity_name_check_complete,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=276,,去除组织形式和H股后缀后名称字符级一致
