company_code,company_name,indicator_code,value,source,abs_indicator,abs_value,revenue,unit
600969.SH,郴电国际,Q_E_GHG_INTENSITY,24.768960931865635,calculated,Q_E_GHG_EMISSION,10272.0,4147125924.36,千克/万元
600982.SH,宁波能源,Q_E_GHG_INTENSITY,2.97511446745091,calculated,Q_E_GHG_EMISSION,290.0,974752410.95,千克/万元
601012.SH,隆基绿能,Q_E_NOX_INTENSITY,179.7991530407379,calculated,Q_E_NOX_EMISSION,12648.34,70347049950.42,克/万元
601012.SH,隆基绿能,Q_E_SO2_INTENSITY,4.463584474705116,calculated,Q_E_SO2_EMISSION,314.0,70347049950.42,克/万元
601126.SH,四方股份,Q_E_GHG_INTENSITY,12.815333307258332,calculated,Q_E_GHG_EMISSION,10500.0,8193310113.95,千克/万元
601225.SH,陕西煤业,Q_E_WASTEWATER_INTENSITY,51.8401614552472,calculated,Q_E_WASTEWATER_DISCHARGE,82.0,15817851.97,千克/万元
601233.SH,桐昆股份,Q_E_SOLID_WASTE_INTENSITY,0.03604541319054516,calculated,Q_E_SOLID_WASTE_GENERATION,70.0,19419946618.44,千克/万元
601567.SH,三星电气,Q_E_WASTEWATER_INTENSITY,0.08077563435626509,calculated,Q_E_WASTEWATER_DISCHARGE,116.0,14360766204.37,千克/万元
601727.SH,上海电气,Q_E_SO2_INTENSITY,960.6323723820733,calculated,Q_E_SO2_EMISSION,121.0,125958695.0,克/万元
601778.SH,晶科科技,Q_E_SOLID_WASTE_INTENSITY,0.34167002193236823,calculated,Q_E_SOLID_WASTE_GENERATION,38.0,1112184199.98,千克/万元
601868.SH,中国能建,Q_E_SO2_INTENSITY,3058.6653813497173,calculated,Q_E_SO2_EMISSION,307.0,100370574.0,克/万元
601985.SH,中国核电,Q_E_GHG_INTENSITY,0.012183904550506245,calculated,Q_E_GHG_EMISSION,100.0,82075495244.95,千克/万元
601985.SH,中国核电,Q_E_NOX_INTENSITY,3.935401169813517,calculated,Q_E_NOX_EMISSION,323.0,82075495244.95,克/万元
601985.SH,中国核电,Q_E_SO2_INTENSITY,3.935401169813517,calculated,Q_E_SO2_EMISSION,323.0,82075495244.95,克/万元
601991.SH,大唐发电,Q_E_NOX_INTENSITY,9402.089356133003,calculated,Q_E_NOX_EMISSION,284.0,30206052.0,克/万元
601991.SH,大唐发电,Q_E_SO2_INTENSITY,1489.7676796689618,calculated,Q_E_SO2_EMISSION,45.0,30206052.0,克/万元
603031.SH,安孚科技,Q_E_NOX_INTENSITY,45.0036711334976,calculated,Q_E_NOX_EMISSION,62.0,1377665386.81,克/万元
603053.SH,成都燃气,Q_E_GHG_INTENSITY,0.0710197816933008,calculated,Q_E_GHG_EMISSION,38.0,5350621910.4,千克/万元
603320.SH,迪贝电气,Q_E_GHG_INTENSITY,72.15469329743998,calculated,Q_E_GHG_EMISSION,7095.0,983304020.26,千克/万元
603396.SH,金辰股份,Q_E_WASTEWATER_INTENSITY,66.41536234111105,calculated,Q_E_WASTEWATER_DISCHARGE,18800.0,2830670395.72,千克/万元
603693.SH,江苏新能,Q_E_SOLID_WASTE_INTENSITY,0.23480488195865298,calculated,Q_E_SOLID_WASTE_GENERATION,49.0,2086839063.62,千克/万元
603906.SH,龙蟠科技,Q_E_GHG_INTENSITY,2.0034170293538875,calculated,Q_E_GHG_EMISSION,319.0,1592279566.99,千克/万元
603985.SH,恒润股份,Q_E_WASTEWATER_INTENSITY,0.24242916010159166,calculated,Q_E_WASTEWATER_DISCHARGE,96.0,3959919671.37,千克/万元
605028.SH,世茂能源,Q_E_SOLID_WASTE_INTENSITY,1.8117700095299893,calculated,Q_E_SOLID_WASTE_GENERATION,14.0,77272501.07,千克/万元
605117.SH,德业股份,Q_E_WASTEWATER_INTENSITY,0.09980575948265959,calculated,Q_E_WASTEWATER_DISCHARGE,122.0,12223743462.54,千克/万元
605162.SH,新中港,Q_E_ENERGY_INTENSITY,18348.9033406335,calculated,Q_E_ENERGY_CONSUMPTION,319322.81,174028280.64,千克/万元
605162.SH,新中港,Q_E_NOX_INTENSITY,26.892180873068476,calculated,Q_E_NOX_EMISSION,4.68,174028280.64,克/万元
605162.SH,新中港,Q_E_SO2_INTENSITY,26.892180873068476,calculated,Q_E_SO2_EMISSION,4.68,174028280.64,克/万元
605162.SH,新中港,Q_E_SOLID_WASTE_INTENSITY,11.205075363778532,calculated,Q_E_SOLID_WASTE_GENERATION,195.0,174028280.64,千克/万元
605162.SH,新中港,Q_E_WASTEWATER_INTENSITY,0.6320811743669941,calculated,Q_E_WASTEWATER_DISCHARGE,11.0,174028280.64,千克/万元
605580.SH,恒盛能源,Q_E_SOLID_WASTE_INTENSITY,2.0865111955975304,calculated,Q_E_SOLID_WASTE_GENERATION,213.0,1020842833.0,千克/万元
688063.SH,派能科技,Q_E_NOX_INTENSITY,1692.1707389950539,calculated,Q_E_NOX_EMISSION,118.0,69732916.0,克/万元
688116.SH,天奈科技,Q_E_SOLID_WASTE_INTENSITY,0.36997737457937424,calculated,Q_E_SOLID_WASTE_GENERATION,48.0,1297376631.6,千克/万元
688248.SH,南网科技,Q_E_WASTEWATER_INTENSITY,0.26189072371982347,calculated,Q_E_WASTEWATER_DISCHARGE,96.5,3684742958.03,千克/万元
688472.SH,阿特斯,Q_E_NOX_INTENSITY,1.962453258244612,calculated,Q_E_NOX_EMISSION,79.0,40255735859.24,克/万元
688472.SH,阿特斯,Q_E_WASTEWATER_INTENSITY,0.01962453258244612,calculated,Q_E_WASTEWATER_DISCHARGE,79.0,40255735859.24,千克/万元
688517.SH,金冠电气,Q_E_SO2_INTENSITY,105.40954318372847,calculated,Q_E_SO2_EMISSION,77.0,730484144.74,克/万元
688676.SH,金盘科技,Q_E_WATER_INTENSITY,254.16618184683293,calculated,Q_E_WATER_CONSUMPTION,185413.89,7294986636.41,千克/万元
688676.SH,金盘科技,Q_E_SOLID_WASTE_INTENSITY,0.06854022151383397,calculated,Q_E_SOLID_WASTE_GENERATION,50.0,7294986636.41,千克/万元
688778.SH,厦钨新能,Q_E_ENERGY_INTENSITY,0.5060814984840333,calculated,Q_E_ENERGY_CONSUMPTION,153.0,3023228481.15,千克/万元
688778.SH,厦钨新能,Q_E_NOX_INTENSITY,50.60814984840333,calculated,Q_E_NOX_EMISSION,153.0,3023228481.15,克/万元
688778.SH,厦钨新能,Q_E_SOLID_WASTE_INTENSITY,0.46638883193626596,calculated,Q_E_SOLID_WASTE_GENERATION,141.0,3023228481.15,千克/万元
