company_code,company_name,report_year,document_type,source_url
001301.SZ,尚太科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/d209877c-7229-4b60-8107-63d0d7bdefeb.PDF
001301.SZ,尚太科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/5e458fe1-7fbd-4298-8c19-7d8c06369852.PDF
001331.SZ,胜通能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/271cb7b4-b15b-4113-9501-fce9cef8707a.PDF
00135.HK,KUNLUN ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002578.pdf
00135.HK,KUNLUN ENERGY,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002618.pdf
00135.HK,KUNLUN ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002625.pdf
00135.HK,KUNLUN ENERGY,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043002783.pdf
001376.SZ,百通能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/137db815-42e3-4949-b832-a56948686385.PDF
00182.HK,CONCORD NE,0,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0709/2026070901137.pdf
00182.HK,CONCORD NE,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0411/2025041101191.pdf
00182.HK,CONCORD NE,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0411/2025041101209.pdf
00182.HK,CONCORD NE,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702254.pdf
00182.HK,CONCORD NE,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702376.pdf
001896.SZ,豫能控股,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/29426423-51db-4e0f-91b9-a1a8b18c2613.PDF
00196.HK,HONGHUA GROUP,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042901247.pdf
00196.HK,HONGHUA GROUP,2024,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0429/2025042901568.pdf
00196.HK,HONGHUA GROUP,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703116.pdf
00196.HK,HONGHUA GROUP,2025,esg_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042703134.pdf
002015.SZ,协鑫能科,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/49b7a390-3785-4070-a59f-20d1f61bb728.PDF
002015.SZ,协鑫能科,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/9e947d1c-716e-4a41-bc89-b7a09589c7e3.PDF
002028.SZ,思源电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/3c22416d-40f1-4579-a548-54ec921787e2.PDF
002028.SZ,思源电气,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e1ce7b05-0a5c-4746-bb9f-2f32b65301f9.PDF
002028.SZ,思源电气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/e5e14a33-220c-4363-950a-cf7a05fec667.PDF
002039.SZ,黔源电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/08b895dd-7fed-43d3-b09d-df7e6b89ba5b.PDF
002056.SZ,横店东磁,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/f1c580f0-6676-467e-aa2a-23596db5075f.PDF
00206.HK,CM-ENERGY,2024,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0417/2025041700005.pdf
00206.HK,CM-ENERGY,2025,annual_report,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043001000.pdf
002060.SZ,广东建工,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3d851b6f-2f82-4f32-836b-270005153d8e.PDF
002074.SZ,国轩高科,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/24ee6bf9-6daa-4f4f-ae46-12dfbe099287.pdf
002074.SZ,国轩高科,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/80ba71d6-58ca-40b2-9904-72257b290b41.PDF
002090.SZ,金智科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-17/da4335ae-ea0c-4a70-9871-ecab8a547187.PDF
002090.SZ,金智科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/195aed1b-6b27-4970-8e16-22939e7e4e6c.PDF
002112.SZ,三变科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/caf40685-d8e0-4f4b-8321-c015eb841be9.PDF
