stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
01811.HK,CGN NEW ENERGY,CGN NEW ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
002893.SZ,京能热力,京能热力,True,matched,filled,filled,preserved,证券代码及名称匹配
00645.HK,ARES ASIA,ARES ASIA,True,matched,filled,filled,preserved,证券代码及名称匹配
601619.SH,嘉泽新能,嘉泽新能,True,matched,filled,filled,preserved,证券代码及名称匹配
300393.SZ,中来股份,中来股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600268.SH,国电南自,国电南自,True,matched,filled,filled,preserved,证券代码及名称匹配
688779.SH,五矿新能,五矿新能,True,matched,filled,filled,preserved,证券代码及名称匹配
002812.SZ,恩捷股份,恩捷股份,True,matched,filled,filled,preserved,证券代码及名称匹配
00451.HK,DYNASTY DIGITAL,DYNASTY DIGITAL,True,matched,filled,filled,preserved,证券代码及名称匹配
01940.HK,CGII HLDGS,CGII HLDGS,True,matched,filled,filled,preserved,证券代码及名称匹配
600644.SH,乐山电力,乐山电力,True,matched,filled,filled,preserved,证券代码及名称匹配
00975.HK,MONGOL MINING,MONGOL MINING,True,matched,filled,filled,preserved,证券代码及名称匹配
688663.SH,DR新风光,DR新风光,True,matched,filled,filled,preserved,证券代码及名称匹配
00702.HK,SINO OIL & GAS,SINO OIL & GAS,True,matched,filled,filled,preserved,证券代码及名称匹配
688681.SH,科汇股份,科汇股份,True,matched,filled,filled,preserved,证券代码及名称匹配
01738.HK,FS ANTHRACITE,FS ANTHRACITE,True,matched,filled,filled,preserved,证券代码及名称匹配
600256.SH,广汇能源,广汇能源,True,matched,filled,filled,preserved,证券代码及名称匹配
000703.SZ,恒逸石化,恒逸石化,True,matched,filled,filled,preserved,证券代码及名称匹配
002560.SZ,通达股份,通达股份,True,matched,filled,filled,preserved,证券代码及名称匹配
688560.SH,明冠新材,明冠新材,True,matched,filled,filled,preserved,证券代码及名称匹配
03303.HK,JUTAL OIL SER,JUTAL OIL SER,True,matched,filled,filled,preserved,证券代码及名称匹配
600578.SH,京能电力,京能电力,True,matched,filled,filled,preserved,证券代码及名称匹配
000966.SZ,长源电力,长源电力,True,matched,filled,filled,preserved,证券代码及名称匹配
02728.HK,JINTAI ENERGY H,JINTAI ENERGY H,True,matched,filled,filled,preserved,证券代码及名称匹配
600101.SH,明星电力,明星电力,True,matched,filled,filled,preserved,证券代码及名称匹配
01608.HK,VPOWER GROUP,VPOWER GROUP,True,matched,filled,filled,preserved,证券代码及名称匹配
600346.SH,恒力石化,恒力石化,True,matched,filled,filled,preserved,证券代码及名称匹配
300037.SZ,新宙邦,新宙邦,True,matched,filled,filled,preserved,证券代码及名称匹配
600482.SH,中国动力,中国动力,True,matched,filled,filled,preserved,证券代码及名称匹配
02178.HK,PETRO-KING,PETRO-KING,True,matched,filled,filled,preserved,证券代码及名称匹配
002039.SZ,黔源电力,黔源电力,True,matched,filled,filled,preserved,证券代码及名称匹配
