company_code,company_name,indicator_code,in_v23_obs,direct_extract,derived_now,text_signal,has_revenue_signal,doc_count,text_chars,failure_reason,extract_values
00956.HK,00956.HK,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
00956.HK,00956.HK,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,0,0,no_text_signal,
601179.SH,中国西电,Q_E_GHG_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_E_NOX_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_E_SO2_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_E_WATER_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,220131,no_text_signal,
601179.SH,中国西电,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,220131,no_text_signal,
01083.HK,TG SMART ENERGY,Q_E_GHG_INTENSITY,False,False,False,False,False,2,651099,no_text_signal,
01083.HK,TG SMART ENERGY,Q_E_ENERGY_INTENSITY,False,False,False,False,False,2,651099,no_text_signal,
01083.HK,TG SMART ENERGY,Q_E_NOX_INTENSITY,False,False,False,True,False,2,651099,text_signal_but_rules_miss,
01083.HK,TG SMART ENERGY,Q_E_SO2_INTENSITY,False,False,False,True,False,2,651099,text_signal_but_rules_miss,
01083.HK,TG SMART ENERGY,Q_E_WATER_INTENSITY,False,False,False,False,False,2,651099,no_text_signal,
01083.HK,TG SMART ENERGY,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,False,2,651099,no_text_signal,
01083.HK,TG SMART ENERGY,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,2,651099,no_text_signal,
600875.SH,东方电气,Q_E_GHG_INTENSITY,False,False,False,False,True,1,240147,no_text_signal,
600875.SH,东方电气,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,240147,no_text_signal,
600875.SH,东方电气,Q_E_NOX_INTENSITY,False,False,False,False,True,1,240147,no_text_signal,
600875.SH,东方电气,Q_E_SO2_INTENSITY,False,False,False,False,True,1,240147,no_text_signal,
600875.SH,东方电气,Q_E_WATER_INTENSITY,False,False,False,True,True,1,240147,text_signal_but_rules_miss,
600875.SH,东方电气,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,240147,no_text_signal,
600875.SH,东方电气,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,240147,no_text_signal,
01072.HK,01072.HK,Q_E_GHG_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
01072.HK,01072.HK,Q_E_ENERGY_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
01072.HK,01072.HK,Q_E_NOX_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
01072.HK,01072.HK,Q_E_SO2_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
01072.HK,01072.HK,Q_E_WATER_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
