impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
95,90.0,104,226,122,True,1.0,1.0,1.0,False,collected,688116.SH,天奈科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
96,90.0,189,419,230,True,1.0,1.0,1.0,False,embedded_in_annual,688147.SH,微导纳米,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
97,90.0,99,373,274,True,1.0,1.0,1.0,False,embedded_in_annual,688349.SH,三一重能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
98,90.0,189,334,145,True,1.0,1.0,1.0,False,embedded_in_annual,688429.SH,时创能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
99,90.0,176,276,100,True,1.0,1.0,1.0,False,embedded_in_annual,688616.SH,西力科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
100,90.0,122,275,153,True,1.0,1.0,1.0,False,embedded_in_annual,688663.SH,DR新风光,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
101,90.0,179,349,170,True,1.0,1.0,1.0,False,embedded_in_annual,688707.SH,振华新材,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
102,90.0,200,376,176,True,1.0,1.0,1.0,False,embedded_in_annual,688733.SH,壹石通,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
103,90.0,181,324,143,True,1.0,1.0,1.0,False,embedded_in_annual,688779.SH,五矿新能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
104,90.0,72,529,457,True,1.0,1.0,1.0,False,embedded_in_annual,920010.BJ,凯添燃气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
105,90.0,50,513,463,True,1.0,1.0,1.0,False,embedded_in_annual,920046.BJ,亿能电力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
106,90.0,178,469,291,True,1.0,1.0,1.0,False,embedded_in_annual,920152.BJ,昆工科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
107,90.0,3,496,493,True,1.0,1.0,1.0,False,embedded_in_annual,920496.BJ,许昌智能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
108,90.0,85,549,464,True,1.0,1.0,1.0,False,embedded_in_annual,920523.BJ,德瑞锂电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
109,90.0,187,479,292,True,1.0,1.0,1.0,False,embedded_in_annual,920639.BJ,晨光电缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
110,90.0,94,434,340,True,1.0,1.0,1.0,False,embedded_in_annual,920682.BJ,球冠电缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
111,90.0,71,513,442,True,1.0,1.0,1.0,False,embedded_in_annual,920770.BJ,艾能聚,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
112,90.0,191,532,341,True,1.0,1.0,1.0,False,embedded_in_annual,920779.BJ,武汉蓝电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
113,90.0,200,438,238,True,1.0,1.0,1.0,False,embedded_in_annual,920914.BJ,远航精密,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
