thin_batch_rank,population_deficit,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
47,19,3012,67.065972,42,336,294,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,00866.HK,CHINA QINFA,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
48,19,3013,67.065972,41,313,272,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,00931.HK,CHINA HK POWER,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
49,19,3014,67.065972,19,245,226,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,00951.HK,CHAOWEI POWER,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
50,19,3015,67.065972,80,419,339,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01080.HK,SHENGLI PIPE,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
51,19,3016,67.065972,7,423,416,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01083.HK,TG SMART ENERGY,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
52,19,3017,67.065972,11,272,261,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01193.HK,CHINA RES GAS,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
53,19,3018,67.065972,2,306,304,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01229.HK,NAN NAN RES,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
54,19,3019,67.065972,178,369,191,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01251.HK,SPT ENERGY,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
55,19,3020,67.065972,138,333,195,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01277.HK,KINETIC DEV,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
56,19,3021,67.065972,8,292,284,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01303.HK,HUILI RES,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
57,19,3022,67.065972,1,479,478,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01555.HK,MIE HOLDINGS,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
58,19,3023,67.065972,172,402,230,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01608.HK,VPOWER GROUP,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
59,19,3024,67.065972,117,507,390,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01621.HK,VICO INTL HLDGS,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
60,19,3025,67.065972,40,464,424,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01623.HK,HILONG,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
61,19,3026,67.065972,63,242,179,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01713.HK,SICHUAN EN INV,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
62,19,3027,67.065972,83,253,170,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01733.HK,E-COMMODITIES,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
63,19,3028,67.065972,122,239,117,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01799.HK,XINTE ENERGY,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
64,19,3029,67.065972,64,238,174,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01811.HK,CGN NEW ENERGY,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
65,19,3030,67.065972,60,324,264,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01878.HK,SOUTHGOBI,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
66,19,3031,67.065972,111,376,265,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01921.HK,DALIPAL HLDG,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
67,19,3032,67.065972,117,437,320,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01938.HK,CHU KONG PIPE,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
68,19,3033,67.065972,81,316,235,True,1.0,1.0,0.283333,0.0,0.998264,1,1.02,01940.HK,CGII HLDGS,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
