impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
48,99.340278,93,250,157,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00686.HK,BJ ENERGY INTL,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
49,99.340278,190,390,200,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00704.HK,HUSCOKE HLDGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
50,99.340278,74,282,208,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00819.HK,TIANNENG POWER,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
51,99.340278,10,287,277,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00836.HK,CHINA RES POWER,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
52,99.340278,45,311,266,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00866.HK,CHINA QINFA,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
53,99.340278,16,331,315,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00931.HK,CHINA HK POWER,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
54,99.340278,22,232,210,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00951.HK,CHAOWEI POWER,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
55,99.340278,76,374,298,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01080.HK,SHENGLI PIPE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
56,99.340278,11,378,367,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01083.HK,TG SMART ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
57,99.340278,17,255,238,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01193.HK,CHINA RES GAS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
58,99.340278,1,326,325,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01229.HK,NAN NAN RES,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
59,99.340278,42,203,161,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01250.HK,SDHS NEW ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
60,99.340278,186,338,152,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01251.HK,SPT ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
61,99.340278,144,310,166,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01277.HK,KINETIC DEV,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
62,99.340278,13,273,260,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01303.HK,HUILI RES,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
63,99.340278,2,458,456,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01555.HK,MIE HOLDINGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
64,99.340278,176,362,186,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01608.HK,VPOWER GROUP,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
65,99.340278,120,498,378,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01621.HK,VICO INTL HLDGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
66,99.340278,38,436,398,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,01623.HK,HILONG,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
