company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
000027.SZ,深圳能源,13,207,194,26.36,32.5,D,97.0,优先补证并复核缺失策略敏感性
000682.SZ,东方电子,262,456,194,45.72,6.25,D,97.0,优先补证并复核缺失策略敏感性
02798.HK,PER ENERGY,352,546,194,48.6,2.5,D,97.0,优先补证并复核缺失策略敏感性
300438.SZ,鹏辉能源,265,458,193,45.72,6.25,D,96.5,优先补证并复核缺失策略敏感性
600241.SH,时代万恒,343,536,193,35.64,21.25,D,96.5,优先补证并复核缺失策略敏感性
600397.SH,江钨装备,296,489,193,37.8,17.5,D,96.5,优先补证并复核缺失策略敏感性
00042.HK,NE ELECTRIC,322,514,192,47.48,3.75,D,96.0,优先补证并复核缺失策略敏感性
300693.SZ,盛弘股份,51,243,192,40.7,13.75,D,96.0,优先补证并复核缺失策略敏感性
600688.SH,上海石化,348,540,192,48.32,2.5,D,96.0,优先补证并复核缺失策略敏感性
002882.SZ,金龙羽,268,459,191,45.72,6.25,D,95.5,优先补证并复核缺失策略敏感性
02012.HK,SUNSHINE OIL,312,503,191,46.92,3.75,D,95.5,优先补证并复核缺失策略敏感性
601727.SH,上海电气,223,414,191,44.72,6.25,D,95.5,优先补证并复核缺失策略敏感性
002221.SZ,东华能源,204,393,189,44.12,8.75,D,94.5,优先补证并复核缺失策略敏感性
002245.SZ,蔚蓝锂芯,299,488,189,46.56,5.0,D,94.5,优先补证并复核缺失策略敏感性
300410.SZ,正业科技,202,391,189,44.12,8.75,D,94.5,优先补证并复核缺失策略敏感性
601016.SH,节能风电,230,419,189,35.0,21.25,D,94.5,优先补证并复核缺失策略敏感性
002267.SZ,陕天然气,57,245,188,40.52,13.75,D,94.0,优先补证并复核缺失策略敏感性
002801.SZ,微光股份,109,297,188,32.32,25.0,D,94.0,优先补证并复核缺失策略敏感性
01277.HK,KINETIC DEV,160,347,187,43.28,10.0,D,93.5,优先补证并复核缺失策略敏感性
301232.SZ,飞沃科技,305,492,187,38.0,16.25,D,93.5,优先补证并复核缺失策略敏感性
300853.SZ,申昊科技,129,315,186,42.4,10.0,D,93.0,优先补证并复核缺失策略敏感性
600795.SH,国电电力,144,330,186,33.07,22.5,D,93.0,优先补证并复核缺失策略敏感性
002196.SZ,方正电机,263,447,184,45.44,6.25,D,92.0,优先补证并复核缺失策略敏感性
300207.SZ,欣旺达,222,406,184,34.92,15.0,D,92.0,优先补证并复核缺失策略敏感性
300880.SZ,迦南智能,112,296,184,32.4,25.0,D,92.0,优先补证并复核缺失策略敏感性
601778.SH,晶科科技,60,244,184,31.04,22.5,D,92.0,优先补证并复核缺失策略敏感性
920985.BJ,海泰新能,366,550,184,48.88,1.25,D,92.0,优先补证并复核缺失策略敏感性
000993.SZ,闽东电力,203,386,183,44.04,8.75,D,91.5,优先补证并复核缺失策略敏感性
300820.SZ,英杰电气,46,229,183,30.6,27.5,D,91.5,优先补证并复核缺失策略敏感性
600803.SH,新奥股份,133,316,183,42.44,8.75,D,91.5,优先补证并复核缺失策略敏感性
000601.SZ,韶能股份,287,469,182,46.0,5.0,D,91.0,优先补证并复核缺失策略敏感性
002340.SZ,格林美,174,356,182,43.4,8.75,D,91.0,优先补证并复核缺失策略敏感性
603218.SH,日月股份,278,460,182,45.64,6.25,D,91.0,优先补证并复核缺失策略敏感性
603353.SH,和顺石油,186,368,182,34.16,22.5,D,91.0,优先补证并复核缺失策略敏感性
688660.SH,电气风电,255,437,182,35.64,21.25,D,91.0,优先补证并复核缺失策略敏感性
920414.BJ,欧普泰,305,487,182,46.36,5.0,D,91.0,优先补证并复核缺失策略敏感性
00061.HK,GREEN LEADER,344,525,181,47.76,3.75,D,90.5,优先补证并复核缺失策略敏感性
300443.SZ,金雷股份,334,515,181,38.44,16.25,D,90.5,优先补证并复核缺失策略敏感性
688472.SH,阿特斯,70,250,180,31.44,25.0,D,90.0,优先补证并复核缺失策略敏感性
01921.HK,DALIPAL HLDG,318,497,179,46.56,5.0,D,89.5,优先补证并复核缺失策略敏感性
603489.SH,八方股份,261,439,178,36.12,20.0,D,89.0,优先补证并复核缺失策略敏感性
002441.SZ,众业达,212,389,177,44.04,8.75,D,88.5,优先补证并复核缺失策略敏感性
002865.SZ,钧达股份,281,458,177,37.32,18.75,D,88.5,优先补证并复核缺失策略敏感性
601666.SH,平煤股份,106,283,177,32.38,21.25,D,88.5,优先补证并复核缺失策略敏感性
000862.SZ,银星能源,220,396,176,44.12,8.75,D,88.0,优先补证并复核缺失策略敏感性
600333.SH,长春燃气,207,382,175,34.8,22.5,D,87.5,优先补证并复核缺失策略敏感性
603212.SH,赛伍技术,268,443,175,36.48,20.0,D,87.5,优先补证并复核缺失策略敏感性
002546.SZ,新联电子,293,467,174,45.72,6.25,D,87.0,优先补证并复核缺失策略敏感性
300904.SZ,威力传动,346,520,174,38.44,16.25,D,87.0,优先补证并复核缺失策略敏感性
01733.HK,E-COMMODITIES,180,352,172,43.28,10.0,D,86.0,优先补证并复核缺失策略敏感性
03668.HK,YANCOAL AUS,321,493,172,46.36,5.0,D,86.0,优先补证并复核缺失策略敏感性
