company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,max_confidence,tier,next_action,reason
00819.HK,TIANNENG POWER,2025,Q_G_CAPITAL_ACCUMULATION,1,7.4525,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_EBITDA_INTEREST,1,5.5978,77,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_REVENUE_GROWTH,1,-29.8295,77,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_G_ROE,1,8.4786,79,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00819.HK,TIANNENG POWER,2025,Q_S_RD_RATE,1,3.7419,77,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_CAPITAL_ACCUMULATION,1,11.4108,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_DEBT_ASSET_RATE,1,67.3544,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_EBITDA_INTEREST,1,6.0669,84,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_ROA,1,6.271,86,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00836.HK,CHINA RES POWER,2025,Q_G_ROE,1,13.0179,87,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_CAPITAL_ACCUMULATION,1,9.2322,73,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_CURRENT_ASSET_TURNOVER,1,1.5811,72,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_EBITDA_INTEREST,1,-4.3946,70,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00931.HK,CHINA HK POWER,2026,Q_G_QUICK_RATIO,1,49.1152,72,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00931.HK,CHINA HK POWER,2026,Q_G_REVENUE_GROWTH,1,14.1914,70,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_CAPITAL_ACCUMULATION,1,3.7153,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_CASH_CURRENT_LIABILITY,1,160.858,91,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00934.HK,SINOPEC KANTONS,2025,Q_G_DEBT_ASSET_RATE,1,2.0542,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00951.HK,CHAOWEI POWER,2025,Q_G_EBITDA_INTEREST,1,2.5075,88,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00951.HK,CHAOWEI POWER,2025,Q_G_REVENUE_GROWTH,1,8.0639,8,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_AR_TURNOVER,1,2.5475,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_ASSET_TURNOVER,1,0.3665,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00968.HK,XINYI SOLAR,2025,Q_G_CAPITAL_ACCUMULATION,1,1.5359,76,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
