序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
256,000791.SZ,甘肃能源,指标数值,53.75,11.6,53.8,,,2988.088,1682.3645,,1379.0904,0.8505,0.06,0.23,52.35,20.04
256,000791.SZ,甘肃能源,指标分值,,,,,,0.0242,0.0189,,0.6653,1.1706,0.3947,1.6015,2.7961,
257,603353.SH,和顺石油,指标数值,33.75,20.06,19.83,,,,,,,,,0.1,17.1177,20.01
257,603353.SH,和顺石油,指标分值,,,,,,,,,,,,0.9661,0.6246,
258,002128.SZ,电投能源,指标数值,35.0,18.92,24.03,,3202.2292,939.2508,1100.0646,27465.8524,,,0.15,1,22.7501,19.94
258,002128.SZ,电投能源,指标分值,,,,,0.4817,0.9823,0.2375,1.2817,,,0.4094,2.9987,0.9831,
259,00666.HK,REPT BATTERO,指标数值,55.0,11.37,54.03,,,,,,,,3.1509,,,19.9
259,00666.HK,REPT BATTERO,指标分值,,,,,,,,,,,1.096,,,
260,002270.SZ,华明装备,指标数值,33.75,18.79,24.21,,,,,,,,3.65,0.21,39.0917,19.87
260,002270.SZ,华明装备,指标分值,,,,,,,,,,,1.2398,1.5009,2.3121,
261,603618.SH,杭电股份,指标数值,40.0,18.94,23.48,,,,,,,,3.41,,72.0203,19.85
261,603618.SH,杭电股份,指标分值,,,,,,,,,,,1.1701,,1.6139,
262,301266.SZ,宇邦新材,指标数值,28.75,20.77,15.86,,12.7119,,,,,,1.98,0.2,43.26,19.79
262,301266.SZ,宇邦新材,指标分值,,,,,4.4251,,,,,,0.7855,1.4506,2.5768,
263,300751.SZ,迈为股份,指标数值,32.5,20.31,17.54,,,,,,,,14.22,0.5,63.3865,19.76
263,300751.SZ,迈为股份,指标分值,,,,,,,,,,,2.9774,2.6667,2.3214,
263,600973.SH,宝胜股份,指标数值,32.5,20.43,17.08,,,,,,,,1.2,,79.4379,19.76
263,600973.SH,宝胜股份,指标分值,,,,,,,,,,,0.6071,,1.0135,
264,600505.SH,西昌电力,指标数值,33.75,20.82,15.45,,,,,,,,,0.025,65.7479,19.75
264,600505.SH,西昌电力,指标分值,,,,,,,,,,,,0.6553,2.1421,
265,688638.SH,誉辰智能,指标数值,36.25,19.04,22.42,,,,,,,,11.15,,67.42,19.71
265,688638.SH,誉辰智能,指标分值,,,,,,,,,,,2.8549,,2.006,
266,301226.SZ,祥明智能,指标数值,40.0,19.55,20.1,,,,,,,,6.87,0.06,13.0901,19.66
266,301226.SZ,祥明智能,指标分值,,,,,,,,,,,2.1652,0.7928,0.4296,
266,600149.SH,廊坊发展,指标数值,30.0,21.4,12.68,,,,,,,,0.67,,39.9197,19.66
266,600149.SH,廊坊发展,指标分值,,,,,,,,,,,0.501,,2.3709,
267,688680.SH,海优新材,指标数值,41.25,18.94,22.39,,,,,,,,6.01,0,56.2,19.63
267,688680.SH,海优新材,指标分值,,,,,,,,,,,1.9356,0.5661,2.7151,
268,688148.SH,芳源股份,指标数值,45.0,18.06,25.79,,,,,,,,2.64,0,83.77,19.6
268,688148.SH,芳源股份,指标分值,,,,,,,,,,,0.9551,0.5661,0.7236,
269,01811.HK,CGN NEW ENERGY,指标数值,56.25,10.05,57.68,,,,,,,,,,,19.57
269,01811.HK,CGN NEW ENERGY,指标分值,,,,,,,,,,,,,,
270,002340.SZ,格林美,指标数值,32.5,20.06,17.56,297.4179,,,,,,,4.19,0.095,65.8,19.56
270,002340.SZ,格林美,指标分值,,,,5.8842,,,,,,,1.3999,0.9436,2.1379,
271,688556.SH,高测股份,指标数值,40.0,16.75,30.64,,,,,,,,5.17,,52.53,19.53
271,688556.SH,高测股份,指标分值,,,,,,,,,,,1.6929,,2.7946,
272,601857.SH,中国石油,指标数值,47.5,7.99,65.6,574.6964,,,,,,,,,,19.51
272,601857.SH,中国石油,指标分值,,,,5.675,,,,,,,,,,
272,605066.SH,天正电气,指标数值,33.75,19.63,19.06,,,,,,,,5.23,,43.2423,19.51
272,605066.SH,天正电气,指标分值,,,,,,,,,,,1.7106,,2.5759,
273,603016.SH,新宏泰,指标数值,37.5,19.98,17.5,,,,,,,,5.53,0.34,17.6085,19.48
273,603016.SH,新宏泰,指标分值,,,,,,,,,,,1.7986,2.1241,0.6519,
274,300222.SZ,科大智能,指标数值,33.75,18.81,22.06,,,,,,,,6,0.04,60.8686,19.46
274,300222.SZ,科大智能,指标分值,,,,,,,,,,,1.9328,0.7125,2.4897,
275,600110.SH,诺德股份,指标数值,35.0,19.3,19.64,,,,,,,,4.61,,62.9126,19.37
275,600110.SH,诺德股份,指标分值,,,,,,,,,,,1.5257,,2.3551,
276,603032.SH,德新科技,指标数值,31.25,21.23,11.78,,,,,,,,5.92,0.043,23.3,19.34
276,603032.SH,德新科技,指标分值,,,,,,,,,,,1.9103,0.7242,1.0232,
277,00951.HK,CHAOWEI POWER,指标数值,52.5,12.21,47.61,,,,,,,,,,,19.29
277,00951.HK,CHAOWEI POWER,指标分值,,,,,,,,,,,,,,
277,603393.SH,新天然气,指标数值,28.75,19.53,18.35,,,,,,,,,,48.3663,19.29
277,603393.SH,新天然气,指标分值,,,,,,,,,,,,,2.7692,
278,301502.SZ,华阳智能,指标数值,36.25,20.33,14.96,,,,,,,,4.08,0.26,22.67,19.25
278,301502.SZ,华阳智能,指标分值,,,,,,,,,,,1.367,1.7508,0.9774,
279,300423.SZ,昇辉科技,指标数值,40.0,19.59,17.54,,,,,,,,2.44,0,51.4409,19.18
279,300423.SZ,昇辉科技,指标分值,,,,,,,,,,,0.9021,0.5661,2.7999,
