序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
140,002267.SZ,陕天然气,指标数值,28.75,28.39,11.63,137.5654,67.5885,,,,,,0.49,0.2,52.97,25.04
140,002267.SZ,陕天然气,指标分值,,,,6.0025,4.3487,,,,,,0.4679,1.4506,2.79,
141,688155.SH,先惠技术,指标数值,42.5,25.31,23.76,,,,,,,,4.41,0.7,57.6691,25
141,688155.SH,先惠技术,指标分值,,,,,,,,,,,1.4658,2.9412,2.6581,
142,688503.SH,聚和材料,指标数值,41.25,24.59,26.46,,,,,,,,5.39,0.432,41.8,24.96
142,688503.SH,聚和材料,指标分值,,,,,,,,,,,1.7577,2.4751,2.4935,
143,600577.SH,精达股份,指标数值,37.5,26.48,18.52,,,,,,,,0.49,0.09,56.395,24.89
143,600577.SH,精达股份,指标分值,,,,,,,,,,,0.4679,0.9213,2.7083,
144,002276.SZ,万马股份,指标数值,51.25,23.39,30.59,,,,,,,,3.39,0.055,62.56,24.83
144,002276.SZ,万马股份,指标分值,,,,,,,,,,,1.1643,0.7723,2.3796,
144,002828.SZ,贝肯能源,指标数值,36.25,27.52,14.06,,,,,,,,2.97,,55.019,24.83
144,002828.SZ,贝肯能源,指标分值,,,,,,,,,,,1.0453,,2.7508,
145,01205.HK,CITIC RESOURCES,指标数值,57.5,17.62,53.61,,,,,,,,,,,24.81
145,01205.HK,CITIC RESOURCES,指标分值,,,,,,,,,,,,,,
146,002893.SZ,京能热力,指标数值,36.25,25.63,21.36,,,,,,,,4.04,0.091,52.91,24.77
146,002893.SZ,京能热力,指标分值,,,,,,,,,,,1.3551,0.9258,2.7907,
147,02380.HK,CHINA POWER,指标数值,65.0,16.64,56.94,10259.5489,,,,,,,,0.168,67.8873,24.7
147,02380.HK,CHINA POWER,指标分值,,,,0.2952,,,,,,,,1.2905,1.9671,
147,688663.SH,新风光,指标数值,46.25,23.58,29.16,,,,,,,,4.99,0.22,61.0523,24.7
147,688663.SH,新风光,指标分值,,,,,,,,,,,1.6394,1.5512,2.4784,
148,605169.SH,洪通燃气,指标数值,37.5,25.39,21.53,,,,,,,,,0.2,17.6978,24.62
148,605169.SH,洪通燃气,指标分值,,,,,,,,,,,,1.4506,0.6569,
149,600395.SH,盘江股份,指标数值,45.0,24.32,25.71,,,,,,,,3.05,0.06,75.2516,24.6
149,600395.SH,盘江股份,指标分值,,,,,,,,,,,1.0676,0.7928,1.3409,
150,00931.HK,CHINA HK POWER,指标数值,46.25,22.79,31.05,30,,,,677.1,1,,,,,24.44
150,00931.HK,CHINA HK POWER,指标分值,,,,6.0811,,,,1.4173,2.5857,,,,,
151,603659.SH,璞泰来,指标数值,36.25,26.37,16.58,,,,,,,,5.65,0.23,53,24.41
151,603659.SH,璞泰来,指标分值,,,,,,,,,,,1.8333,1.6015,2.7897,
152,603728.SH,鸣志电器,指标数值,41.25,24.07,25.71,,,,,,,,9.73,0.025,34.2303,24.4
152,603728.SH,鸣志电器,指标分值,,,,,,,,,,,2.7121,0.6553,1.9259,
153,603727.SH,博迈科,指标数值,42.5,25.22,21.09,,,,,,,,4.28,0.2,40.66,24.39
153,603727.SH,博迈科,指标分值,,,,,,,,,,,1.4268,1.4506,2.421,
154,688597.SH,煜邦电力,指标数值,43.75,22.44,32.11,,,,,,,,7.18,,55.47,24.37
154,688597.SH,煜邦电力,指标分值,,,,,,,,,,,2.2416,,2.7383,
155,002692.SZ,远程股份,指标数值,43.75,25.76,18.71,,,,,,,,4.62,0.02,61.9551,24.35
155,002692.SZ,远程股份,指标分值,,,,,,,,,,,1.5287,0.6368,2.4205,
155,603706.SH,东方环宇,指标数值,36.25,25.52,19.64,,,,,,,,0.3,0.9,32.8779,24.35
155,603706.SH,东方环宇,指标分值,,,,,,,,,,,0.4345,2.9945,1.8108,
156,002487.SZ,大金重工,指标数值,32.5,26.09,16.98,86.3216,,,,,,,4.67,0.087,42.8573,24.27
156,002487.SZ,大金重工,指标分值,,,,6.04,,,,,,,1.5437,0.9081,2.555,
157,603105.SH,芯能科技,指标数值,36.25,26.38,15.46,,,,,,,,4.92,1,49.67,24.2
157,603105.SH,芯能科技,指标分值,,,,,,,,,,,1.6185,2.9987,2.7904,
158,300316.SZ,晶盛机电,指标数值,38.75,25.88,17.36,,,,,,,,8.41,0.15,33.7222,24.18
158,300316.SZ,晶盛机电,指标分值,,,,,,,,,,,2.5049,1.202,1.8829,
159,603556.SH,海兴电力,指标数值,38.75,25.87,16.86,,,,,,,,8.25,0.8,25.5352,24.06
159,603556.SH,海兴电力,指标分值,,,,,,,,,,,2.4745,2.9804,1.1939,
160,688392.SH,骄成超声,指标数值,41.25,24.64,21.66,,,,,,,,20.67,0.2,24.16,24.04
160,688392.SH,骄成超声,指标分值,,,,,,,,,,,2.9999,1.4506,1.0874,
161,601991.SH,大唐发电,指标数值,52.5,14.96,60.32,,,,,15880,,2.8832,2.02,0.148,70.15,24.03
161,601991.SH,大唐发电,指标分值,,,,,,,,1.3406,,2.3221,0.7953,1.1922,1.7747,
162,688063.SH,派能科技,指标数值,52.5,16.05,55.85,,,,,,,,10.11,0.124,70,24.01
162,688063.SH,派能科技,指标分值,,,,,,,,,,,2.7578,1.0771,1.7876,
163,688226.SH,威腾电气,指标数值,45.0,21.96,32.16,,,,,,,,2.54,,64.58,24
163,688226.SH,威腾电气,指标分值,,,,,,,,,,,0.9284,,2.233,
164,603897.SH,长城科技,指标数值,33.75,27.16,11.31,,,,,,,,0.49,1.2,63.0053,23.99
164,603897.SH,长城科技,指标分值,,,,,,,,,,,0.4679,3,2.3486,
165,600803.SH,新奥股份,指标数值,53.75,13.68,65.07,,,,,447.7898,20.4845,,0.74,1.14,,23.96
165,600803.SH,新奥股份,指标分值,,,,,,,,1.4184,2.5585,,0.5143,2.9999,,
166,600681.SH,百川能源,指标数值,33.75,25.87,16.28,,,,,,,,0.06,0.15,53.2333,23.95
166,600681.SH,百川能源,指标分值,,,,,,,,,,,0.3947,1.202,2.7866,
167,01407.HK,JY GAS,指标数值,46.25,21.83,32.22,6.98,,,,24.8,,,,,43.0274,23.91
167,01407.HK,JY GAS,指标分值,,,,6.0978,,,,1.4205,,,,,2.5643,
168,600256.SH,广汇能源,指标数值,43.75,24.08,22.88,,,,,,,,0.91,0.063,54.5599,23.84
168,600256.SH,广汇能源,指标分值,,,,,,,,,,,0.5475,0.8052,2.7621,
169,600580.SH,卧龙电驱,指标数值,41.25,24.8,19.74,,,,,,,,5.79,0.18,54.3045,23.79
169,600580.SH,卧龙电驱,指标分值,,,,,,,,,,,1.8735,1.3502,2.7678,
170,688330.SH,宏力达,指标数值,43.75,21.8,31.52,,,,,,,,7.13,0.46,6.9506,23.75
170,688330.SH,宏力达,指标分值,,,,,,,,,,,2.2295,2.5611,0.2241,
171,688345.SH,博力威,指标数值,41.25,23.78,23.59,,,,,,,,5.34,0.2,60.85,23.74
171,688345.SH,博力威,指标分值,,,,,,,,,,,1.743,1.4506,2.4908,
172,600642.SH,申能股份,指标数值,35.0,25.04,18.3,,,,,,,,0.08,0.46,54.7706,23.7
172,600642.SH,申能股份,指标分值,,,,,,,,,,,0.398,2.5611,2.7571,
173,600925.SH,苏能股份,指标数值,40.0,24.56,20.22,,,,,,,,2.35,0.02,56.9056,23.69
173,600925.SH,苏能股份,指标分值,,,,,,,,,,,0.8787,0.6368,2.6894,
174,600312.SH,平高电气,指标数值,41.25,22.95,26.58,,,,,,,,4.84,0.331,46.8124,23.68
174,600312.SH,平高电气,指标分值,,,,,,,,,,,1.5946,2.0847,2.7284,
174,688191.SH,智洋创新,指标数值,40.0,23.76,23.36,,,,,,,,9.86,0,51.3418,23.68
174,688191.SH,智洋创新,指标分值,,,,,,,,,,,2.7284,0.5661,2.8,
175,600777.SH,*ST新潮,指标数值,45.0,19.39,40.76,,,,,,,,,,34.35,23.66
175,600777.SH,*ST新潮,指标分值,,,,,,,,,,,,,1.936,
176,600886.SH,国投电力,指标数值,33.75,25.61,15.55,,,,,,,,0.56,0.5081,60.52,23.6
176,600886.SH,国投电力,指标分值,,,,,,,,,,,0.4806,2.6857,2.5107,
176,688567.SH,孚能科技,指标数值,45.0,21.97,30.14,,,,,,,,6.92,,59.37,23.6
176,688567.SH,孚能科技,指标分值,,,,,,,,,,,2.1778,,2.5756,
177,603097.SH,江苏华辰,指标数值,41.25,22.91,26.14,,,,,,,,3.77,0.15,56.45,23.56
177,603097.SH,江苏华辰,指标分值,,,,,,,,,,,1.2751,1.202,2.7064,
177,688779.SH,五矿新能,指标数值,43.75,23.81,22.56,,,,,,,,2.87,0.0414,45.19,23.56
177,688779.SH,五矿新能,指标分值,,,,,,,,,,,1.0176,0.7178,2.6688,
178,300724.SZ,捷佳伟创,指标数值,36.25,25.94,13.81,,,,,,,,3.93,1.2,46.3307,23.52
178,300724.SZ,捷佳伟创,指标分值,,,,,,,,,,,1.3224,3,2.7125,
179,300568.SZ,星源材质,指标数值,37.5,26.88,10.0,,,,,,,,6.75,0.01,56.92,23.5
179,300568.SZ,星源材质,指标分值,,,,,,,,,,,2.1346,0.6008,2.6889,
180,300919.SZ,中伟新材,指标数值,38.75,22.15,28.48,,,,,,,,2.43,0.38,58.8,23.42
180,300919.SZ,中伟新材,指标分值,,,,,,,,,,,0.8995,2.2889,2.6051,
181,603312.SH,西典新能,指标数值,35.0,23.26,23.88,,,,,,,,2.67,0.4,36.4343,23.38
181,603312.SH,西典新能,指标分值,,,,,,,,,,,0.9632,2.3645,2.1081,
182,688499.SH,利元亨,指标数值,43.75,21.4,30.96,,,,,,,,11.35,,72.68,23.31
182,688499.SH,利元亨,指标分值,,,,,,,,,,,2.8694,,1.5574,
183,600116.SH,三峡水利,指标数值,41.25,23.11,23.78,,,,,,,,0.04,0.125,54.43,23.25
183,600116.SH,三峡水利,指标分值,,,,,,,,,,,0.3915,1.0818,2.7651,
184,601088.SH,中国神华,指标数值,56.25,13.92,59.67,6780,2469.2048,1441.0883,674.7684,8904.5694,,1.3763,1.7,,23.3,23.07
184,601088.SH,中国神华,指标分值,,,,1.3014,1.0248,0.5466,0.7762,1.3759,,1.5642,0.7185,,1.0232,
185,601918.SH,新集能源,指标数值,35.0,25.26,13.88,,,,,,,,0.04,0.17,63.53,22.98
185,601918.SH,新集能源,指标分值,,,,,,,,,,,0.3915,1.3004,2.3111,
186,01250.HK,SDHS NEW ENERGY,指标数值,62.5,13.98,58.85,,,,,,,1.77,,,,22.96
186,01250.HK,SDHS NEW ENERGY,指标分值,,,,,,,,,,1.8309,,,,
187,605196.SH,华通线缆,指标数值,40.0,23.2,21.22,,,,,,,,1.38,,66.0355,22.81
187,605196.SH,华通线缆,指标分值,,,,,,,,,,,0.646,,2.1191,
188,600268.SH,国电南自,指标数值,37.5,24.17,17.2,,,,,,,,7.24,0.2,60.8275,22.77
188,600268.SH,国电南自,指标分值,,,,,,,,,,,2.2559,1.4506,2.4922,
189,688516.SH,奥特维,指标数值,38.75,24.27,16.55,,,,,,,,7.58,0.8,72.5662,22.72
189,688516.SH,奥特维,指标分值,,,,,,,,,,,2.3344,2.9804,1.5671,
190,600157.SH,永泰能源,指标数值,40.0,22.4,23.98,,,,,,,,0.4,0,73.18,22.71
190,600157.SH,永泰能源,指标分值,,,,,,,,,,,0.4519,0.5661,1.5147,
191,001896.SZ,豫能控股,指标数值,48.75,23.36,20.05,19473.4739,8580,1650.24,1071.4697,1270090.2002,4513.3775,0.863,0.05,0,86.8,22.7
191,001896.SZ,豫能控股,指标分值,,,,0.0004,0,0.4042,0.2616,0,0.0001,1.18,0.3931,0.5661,0.5555,
191,06828.HK,BG BLUE SKY,指标数值,58.75,14.85,54.1,,,,,,0.072,,,,,22.7
191,06828.HK,BG BLUE SKY,指标分值,,,,,,,,,2.587,,,,,
192,601669.SH,中国电建,指标数值,38.75,22.44,23.61,,,,,,,,3.69,0.1055,79.59,22.67
192,601669.SH,中国电建,指标分值,,,,,,,,,,,1.2516,0.9912,1.0024,
193,301291.SZ,明阳电气,指标数值,32.5,24.98,13.16,,6.2689,,,,,,3.09,0.45,46.66,22.62
193,301291.SZ,明阳电气,指标分值,,,,,4.434,,,,,,1.0789,2.5315,2.7236,
194,603070.SH,万控智造,指标数值,35.0,24.92,12.7,,,,,,,,3.66,0.08,30.4183,22.48
194,603070.SH,万控智造,指标分值,,,,,,,,,,,1.2428,0.8775,1.5994,
195,603320.SH,迪贝电气,指标数值,36.25,23.97,16.48,,,,,,,,4.79,0.17,17.1345,22.47
195,603320.SH,迪贝电气,指标分值,,,,,,,,,,,1.5797,1.3004,0.6255,
196,600863.SH,华能蒙电,指标数值,33.75,23.66,17.41,,,,,,,,1.28,0.22,52.7299,22.41
196,600863.SH,华能蒙电,指标分值,,,,,,,,,,,0.6242,1.5512,2.7927,
197,01799.HK,XINTE ENERGY,指标数值,61.25,15.69,48.95,,,,,,,,2.4191,,54.8883,22.34
197,01799.HK,XINTE ENERGY,指标分值,,,,,,,,,,,0.8966,,2.7542,
198,600021.SH,上海电力,指标数值,36.25,24.22,14.73,,,,,,,,0.66,0.37,69.32,22.32
198,600021.SH,上海电力,指标分值,,,,,,,,,,,0.4991,2.2494,1.8458,
199,300105.SZ,龙源技术,指标数值,38.75,24.49,13.55,,,,,,,,6.81,0.15,30.0048,22.31
199,300105.SZ,龙源技术,指标分值,,,,,,,,,,,2.15,1.202,1.564,
200,600458.SH,时代新材,指标数值,33.75,24.25,14.38,,,,,,,,5.28,0.162,64.6703,22.27
200,600458.SH,时代新材,指标分值,,,,,,,,,,,1.7254,1.2608,2.2261,
201,603344.SH,星德胜,指标数值,32.5,24.45,13.5,,,,,,,,4.06,,32.6111,22.26
201,603344.SH,星德胜,指标分值,,,,,,,,,,,1.3611,,1.7879,
202,688717.SH,艾罗能源,指标数值,36.25,23.0,19.16,,,,,,,,14.89,,38.8659,22.23
202,688717.SH,艾罗能源,指标分值,,,,,,,,,,,2.9859,,2.2957,
203,301388.SZ,欣灵电气,指标数值,36.25,23.86,15.48,,,,,,,,5.51,0.2,18.7353,22.19
203,301388.SZ,欣灵电气,指标分值,,,,,,,,,,,1.7928,1.4506,0.7174,
203,600644.SH,乐山电力,指标数值,36.25,22.61,20.53,,,,,,,,0.03,0.015,51.1668,22.19
203,600644.SH,乐山电力,指标分值,,,,,,,,,,,0.3899,0.6187,2.7999,
204,603829.SH,洛凯股份,指标数值,38.75,23.45,17.09,,,,,,,,4.67,0.15,47.7385,22.17
204,603829.SH,洛凯股份,指标分值,,,,,,,,,,,1.5437,1.202,2.7547,
205,600509.SH,天富能源,指标数值,40.0,22.91,19.07,,,,,,,,0.18,0.084,65.17,22.14
205,600509.SH,天富能源,指标分值,,,,,,,,,,,0.4143,0.8949,2.1875,
206,688616.SH,西力科技,指标数值,42.5,21.35,25.22,,,,,,,,5.48,0.3,19.4653,22.12
206,688616.SH,西力科技,指标分值,,,,,,,,,,,1.784,1.9434,0.7621,
207,301168.SZ,通灵股份,指标数值,45.0,22.59,20.02,,,,,,,,5.36,0.022,36.4697,22.08
207,301168.SZ,通灵股份,指标分值,,,,,,,,,,,1.7489,0.6442,2.111,
208,688275.SH,万润新能,指标数值,47.5,18.78,35.22,,,,,,,,2.19,,68.39,22.07
208,688275.SH,万润新能,指标分值,,,,,,,,,,,0.8378,,1.9248,
209,600339.SH,中油工程,指标数值,37.5,21.05,26.06,,,,,,,,2.52,0.026,78.1716,22.05
209,600339.SH,中油工程,指标分值,,,,,,,,,,,0.9231,0.659,1.1083,
209,688611.SH,杭州柯林,指标数值,37.5,22.62,19.76,,,,,,,,20.86,,24.7298,22.05
209,688611.SH,杭州柯林,指标分值,,,,,,,,,,,2.9999,,1.131,
210,000862.SZ,银星能源,指标数值,26.25,24.58,11.83,91.869,175.1452,,,,,1.8595,0.8,,49.3348,22.03
210,000862.SZ,银星能源,指标分值,,,,6.036,4.1956,,,,,1.8858,0.5259,,2.7861,
211,600726.SH,华电能源,指标数值,35.0,21.97,21.73,,,,,,,,0.03,,80.6243,21.92
211,600726.SH,华电能源,指标分值,,,,,,,,,,,0.3899,,0.9286,
211,688707.SH,振华新材,指标数值,42.5,20.2,28.82,,,,,,,,6.6,,39.29,21.92
211,688707.SH,振华新材,指标分值,,,,,,,,,,,2.0957,,2.3264,
212,603050.SH,科林电气,指标数值,32.5,23.94,13.5,,,,,,,,4.62,0.1983,67.36,21.85
212,603050.SH,科林电气,指标分值,,,,,,,,,,,1.5287,1.4423,2.011,
213,300514.SZ,友讯达,指标数值,33.75,23.57,14.86,,,,,,,,10.2816,0.1,28.2815,21.83
213,300514.SZ,友讯达,指标分值,,,,,,,,,,,2.7765,0.9661,1.4179,
214,600468.SH,百利电气,指标数值,35.0,22.85,17.48,,,,,,,,4.64,0.025,53.78,21.78
214,600468.SH,百利电气,指标分值,,,,,,,,,,,1.5347,0.6553,2.778,
215,002911.SZ,佛燃能源,指标数值,35.0,22.31,19.63,,,,,,,,1.02,0.27,49.35,21.77
215,002911.SZ,佛燃能源,指标分值,,,,,,,,,,,0.5696,1.7998,2.7863,
216,600475.SH,华光环能,指标数值,42.5,20.77,25.43,,,,,,,,1.91,0.35,61.3821,21.7
216,600475.SH,华光环能,指标分值,,,,,,,,,,,0.7685,2.1669,2.4577,
217,688429.SH,时创能源,指标数值,38.75,21.92,20.63,,,,,,,,22.46,,70.3604,21.67
217,688429.SH,时创能源,指标分值,,,,,,,,,,,3,,1.7566,
218,600416.SH,湘电股份,指标数值,33.75,23.16,15.7,,,,,,,,9.24,,51.04,21.66
218,600416.SH,湘电股份,指标分值,,,,,,,,,,,2.6442,,2.7998,
219,603819.SH,神力股份,指标数值,37.5,21.57,21.96,,,,,,,,4.25,0.04,48.7319,21.65
219,603819.SH,神力股份,指标分值,,,,,,,,,,,1.4178,0.7125,2.7763,
220,002533.SZ,金杯电工,指标数值,38.75,21.78,21.08,,,,,,,,3.21,0.45,57.9973,21.64
220,002533.SZ,金杯电工,指标分值,,,,,,,,,,,1.1128,2.5315,2.6435,
221,300040.SZ,九洲集团,指标数值,37.5,22.09,18.94,,,,,,,,1.69,0.02,63.8,21.46
221,300040.SZ,九洲集团,指标分值,,,,,,,,,,,0.7162,0.6368,2.2913,
222,002459.SZ,晶澳科技,指标数值,56.25,10.11,66.8,,,,,,49.4916,,6.02,,78.62,21.45
222,002459.SZ,晶澳科技,指标分值,,,,,,,,,2.5175,,1.9384,,1.0743,
223,600379.SH,宝光股份,指标数值,40.0,22.15,18.61,,,,,,,,3.95,0.0622,60.92,21.44
223,600379.SH,宝光股份,指标分值,,,,,,,,,,,1.3283,0.8019,2.4866,
224,688719.SH,爱科赛博,指标数值,38.75,22.09,18.68,,,,,,,,19.56,0,31.91,21.41
224,688719.SH,爱科赛博,指标分值,,,,,,,,,,,2.9998,0.5661,1.7277,
225,00392.HK,BEIJING ENT,指标数值,60.0,11.6,60.52,,,,,,,,,,52.1855,21.38
225,00392.HK,BEIJING ENT,指标分值,,,,,,,,,,,,,2.7972,
225,605222.SH,起帆电缆,指标数值,36.25,22.98,14.98,,,,,,,,0.42,0.06,66.6,21.38
225,605222.SH,起帆电缆,指标分值,,,,,,,,,,,0.4554,0.7928,2.0735,
226,601865.SH,福莱特,指标数值,38.75,22.49,16.6,,,,,,,,2.77,0.15,46.6513,21.31
226,601865.SH,福莱特,指标分值,,,,,,,,,,,0.9902,1.202,2.7233,
227,002953.SZ,日丰股份,指标数值,33.75,22.43,16.68,,,,,,,,3.12,0.1,41.3124,21.28
227,002953.SZ,日丰股份,指标分值,,,,,,,,,,,1.0873,0.9661,2.4632,
228,600617.SH,国新能源,指标数值,35.0,22.15,17.48,,,,,,,,0.18,,81.3721,21.22
228,600617.SH,国新能源,指标分值,,,,,,,,,,,0.4143,,0.8772,
229,002129.SZ,TCL中环,指标数值,41.25,17.84,34.44,,,,,2170.0349,109.1253,,3.65,,66.7288,21.16
229,002129.SZ,TCL中环,指标分值,,,,,,,,1.4098,2.4318,,1.2398,,2.063,
229,603191.SH,望变电气,指标数值,35.0,20.69,23.03,,,,,,,,7.82,0.05,56.95,21.16
229,603191.SH,望变电气,指标分值,,,,,,,,,,,2.3869,0.752,2.6877,
230,00968.HK,XINYI SOLAR,指标数值,56.25,14.05,49.46,,,,,,,,,,38.6178,21.13
230,00968.HK,XINYI SOLAR,指标分值,,,,,,,,,,,,,2.2774,
230,300491.SZ,通合科技,指标数值,32.5,21.63,19.13,,,,,,0.0771,,8.89,0.08,52.5451,21.13
230,300491.SZ,通合科技,指标分值,,,,,,,,,2.587,,2.5893,0.8775,2.7945,
231,601222.SH,林洋能源,指标数值,40.0,21.02,21.08,,,,,,,,4.92,0.088,29.41,21.03
231,601222.SH,林洋能源,指标分值,,,,,,,,,,,1.6185,0.9125,1.5133,
232,300490.SZ,华自科技,指标数值,43.75,20.38,23.48,,,,,,,,6.56,0,68.4134,21
232,300490.SZ,华自科技,指标分值,,,,,,,,,,,2.0852,0.5661,1.9228,
233,00579.HK,JNCEC,指标数值,57.5,13.09,52.6,,,,,,,,3.67,,62.2094,20.99
233,00579.HK,JNCEC,指标分值,,,,,,,,,,,1.2457,,2.4035,
234,603577.SH,汇金通,指标数值,38.75,22.75,13.93,,,,,,,,4.09,0.0608,67.543,20.98
234,603577.SH,汇金通,指标分值,,,,,,,,,,,1.37,0.7961,1.9958,
235,300648.SZ,星云股份,指标数值,40.0,21.3,19.54,,,,,,,,16.41,0,56.636,20.95
235,300648.SZ,星云股份,指标分值,,,,,,,,,,,2.9957,0.5661,2.6996,
235,600310.SH,广西能源,指标数值,35.0,22.08,16.44,,,,,,,,0.55,1,77.8804,20.95
235,600310.SH,广西能源,指标分值,,,,,,,,,,,0.4788,2.9987,1.1307,
236,600982.SH,宁波能源,指标数值,36.25,21.91,16.66,,,,,,,,1.4,0.17,61.63,20.86
236,600982.SH,宁波能源,指标分值,,,,,,,,,,,0.6504,1.3004,2.4418,
237,688733.SH,壹石通,指标数值,41.25,20.76,21.06,,,,,,,,10.73,0.1,39.6904,20.82
237,688733.SH,壹石通,指标分值,,,,,,,,,,,2.8203,0.9661,2.3549,
