stock_code,company_name,exchange,sub_industry,included,exclusion_reason,entity_id,source_url,as_of_date
600452.SH,涪陵电力,SSE,历史能源样本待复核,true,,600452.SH,,
#N/A,中国港能智慧能源集团有限公司,UNKNOWN,历史能源样本待复核,false,证券代码缺失或格式异常,#N/A,,
601865.SH,福莱特,SSE,历史能源样本待复核,true,,601865.SH,,
000720.SZ,新能泰山,SZSE,历史能源样本待复核,true,,000720.SZ,,
600642.SH,申能股份,SSE,历史能源样本待复核,true,,600642.SH,,
300568.SZ,星源材质,SZSE,历史能源样本待复核,true,,300568.SZ,,
688408.SH,中信博,SSE,历史能源样本待复核,true,,688408.SH,,
002801.SZ,微光股份,SZSE,历史能源样本待复核,true,,002801.SZ,,
600580.SH,卧龙电驱,SSE,历史能源样本待复核,true,,600580.SH,,
603318.SH,水发燃气,SSE,历史能源样本待复核,true,,603318.SH,,
688499.SH,利元亨,SSE,历史能源样本待复核,true,,688499.SH,,
600674.SH,川投能源,SSE,历史能源样本待复核,true,,600674.SH,,
603053.SH,成都燃气,SSE,历史能源样本待复核,true,,603053.SH,,
605028.SH,世茂能源,SSE,历史能源样本待复核,true,,605028.SH,,
002300.SZ,太阳电缆,SZSE,历史能源样本待复核,true,,002300.SZ,,
002498.SZ,汉缆股份,SZSE,历史能源样本待复核,true,,002498.SZ,,
600777.SH,新潮能源,SSE,历史能源样本待复核,true,,600777.SH,,
600416.SH,湘电股份,SSE,历史能源样本待复核,true,,600416.SH,,
600982.SH,宁波能源,SSE,历史能源样本待复核,true,,600982.SH,,
603693.SH,江苏新能,SSE,历史能源样本待复核,true,,603693.SH,,
300062.SZ,中能电气,SZSE,历史能源样本待复核,true,,300062.SZ,,
601222.SH,林洋能源,SSE,历史能源样本待复核,true,,601222.SH,,
000690.SZ,宝新能源,SZSE,历史能源样本待复核,true,,000690.SZ,,
000993.SZ,闽东电力,SZSE,历史能源样本待复核,true,,000993.SZ,,
000937.SZ,冀中能源,SZSE,历史能源样本待复核,true,,000937.SZ,,
002350.SZ,北京科锐,SZSE,历史能源样本待复核,true,,002350.SZ,,
603577.SH,汇金通,SSE,历史能源样本待复核,true,,603577.SH,,
01938.HK,珠江石油天然气钢管控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01938.HK,,
