batch_task_rank,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
103,571,75.0,151,337,186,True,1.0,1.0,0.4,False,embedded_in_annual,000037.SZ,深南电A,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
104,572,75.0,151,337,186,True,1.0,1.0,0.4,False,embedded_in_annual,000037.SZ,深南电A,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
105,573,75.0,151,337,186,True,1.0,1.0,0.4,False,embedded_in_annual,000037.SZ,深南电A,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
106,574,75.0,139,353,214,True,1.0,1.0,0.4,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
107,575,75.0,139,353,214,True,1.0,1.0,0.4,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
108,576,75.0,139,353,214,True,1.0,1.0,0.4,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
109,577,75.0,139,353,214,True,1.0,1.0,0.4,False,embedded_in_annual,000096.SZ,广聚能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
110,590,75.0,164,270,106,True,1.0,1.0,0.4,False,collected,000690.SZ,宝新能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
111,591,75.0,164,270,106,True,1.0,1.0,0.4,False,collected,000690.SZ,宝新能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
112,592,75.0,164,270,106,True,1.0,1.0,0.4,False,collected,000690.SZ,宝新能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
113,596,75.0,167,448,281,True,1.0,1.0,0.4,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
114,597,75.0,167,448,281,True,1.0,1.0,0.4,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
115,598,75.0,167,448,281,True,1.0,1.0,0.4,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
116,599,75.0,167,448,281,True,1.0,1.0,0.4,False,embedded_in_annual,000968.SZ,蓝焰控股,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
117,600,75.0,119,268,149,True,1.0,1.0,0.4,False,embedded_in_annual,001258.SZ,立新能源,2025,X_E_ENERGY_MANAGEMENT,能源管理,3.0,1,evidence_missing,locate_additional_public_evidence
118,601,75.0,119,268,149,True,1.0,1.0,0.4,False,embedded_in_annual,001258.SZ,立新能源,2025,X_G_AUDIT,会计审计,3.0,1,evidence_missing,locate_additional_public_evidence
119,602,75.0,119,268,149,True,1.0,1.0,0.4,False,embedded_in_annual,001258.SZ,立新能源,2025,X_G_ESG_MANAGEMENT,可持续发展管理,3.0,1,evidence_missing,locate_additional_public_evidence
120,603,75.0,119,268,149,True,1.0,1.0,0.4,False,embedded_in_annual,001258.SZ,立新能源,2025,X_G_PERFORMANCE,经营表现,3.0,1,evidence_missing,locate_additional_public_evidence
