task_id,decision_id,stock_code,priority,next_action,historical_name,current_chinese_name,issuer_history_candidate_ids,issuer_history_pages,principal_business_candidate_ids,principal_business_pages,ah_identity_candidate_ids,ah_identity_pages,profile_evidence_url,candidate_count,review_readiness,outcome,related_a_code,entity_id,selected_candidate_ids,evidence_url,evidence_date,reviewer,reviewed_at,rationale,review_status
HKCONT-06828-HK,,06828.HK,2,verify_name_continuity,北京燃气蓝天控股有限公司,北京燃氣藍天控股有限公司,,,HKCE-06828-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P11-1|HKCE-06828-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P46-1|HKCE-06828-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P50-1|HKCE-06828-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P71-1|HKCE-06828-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P72-1,11|46|50|71|72,HKCE-06828-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P22-1,22,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6828,6,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-06885-HK,,06885.HK,2,verify_name_continuity,河南金马能源股份有限公司,河南金馬能源股份有限公司 - H股,,,HKCE-06885-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P100-1|HKCE-06885-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P139-1|HKCE-06885-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P181-1|HKCE-06885-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P182-1|HKCE-06885-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P189-1,100|139|181|182|189,HKCE-06885-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P1-1|HKCE-06885-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P105-1|HKCE-06885-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P114-1|HKCE-06885-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P136-1|HKCE-06885-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P220-1,1|105|114|136|220,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6885,10,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-08132-HK,,08132.HK,2,verify_name_continuity,百能国际能源控股有限公司,百能國際能源控股有限公司,,,HKCE-08132-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P6-1|HKCE-08132-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P10-1|HKCE-08132-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P37-1|HKCE-08132-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P66-1|HKCE-08132-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P131-1,6|10|37|66|131,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8132,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-08270-HK,,08270.HK,2,verify_name_continuity,中国煤层气集团有限公司,中國煤層氣集團有限公司,,,HKCE-08270-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P7-1|HKCE-08270-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P42-1|HKCE-08270-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P54-1|HKCE-08270-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P76-1|HKCE-08270-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P143-1,7|42|54|76|143,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8270,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-08347-HK,,08347.HK,2,verify_name_continuity,F8企业(控股)集团有限公司,F8企業(控股)集團有限公司,,,HKCE-08347-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P41-1|HKCE-08347-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P55-1|HKCE-08347-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P59-1|HKCE-08347-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P79-1|HKCE-08347-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P84-1,41|55|59|79|84,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8347,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-09689-HK,,09689.HK,2,verify_name_continuity,金泰丰国际控股有限公司,金泰豐國際控股有限公司,,,HKCE-09689-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P26-1|HKCE-09689-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P31-1|HKCE-09689-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P78-1|HKCE-09689-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P95-1|HKCE-09689-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P128-1,26|31|78|95|128,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=9689,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-01798-HK,,01798.HK,3,review_ah_relationship,中国大唐集团新能源股份有限公司,中國大唐集團新能源股份有限公司 - H股,,,HKCE-01798-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P7-1|HKCE-01798-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P40-1|HKCE-01798-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P218-1|HKCE-01798-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P287-1,7|40|218|287,HKCE-01798-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P8-1|HKCE-01798-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P39-1|HKCE-01798-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P44-1|HKCE-01798-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P45-1|HKCE-01798-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P52-1,8|39|44|45|52,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1798,9,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-01799-HK,,01799.HK,3,review_ah_relationship,新特能源股份有限公司,新特能源股份有限公司 - H股,,,HKCE-01799-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P20-1|HKCE-01799-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P41-1|HKCE-01799-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P61-1|HKCE-01799-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P62-1|HKCE-01799-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P120-1,20|41|61|62|120,HKCE-01799-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P1-1|HKCE-01799-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P6-1|HKCE-01799-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P7-1|HKCE-01799-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P9-1|HKCE-01799-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P41-1|HKCE-01799-HK-AH_IDENTITY-ESG_REPORT-2025-P1-1,1|6|7|9|41,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1799,11,evidence_candidates_available,,,,,,,,,,unsigned
