company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00451.HK,GCL NEWENERGY,2025,Q_E_ENERGY_INTENSITY,6,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,6,English revenue intensity: Comprehensive energy consumption intensity: 0.6 tonnes of coal equivalent per RMB million of revenue,0.9
00451.HK,GCL NEWENERGY,2025,Q_E_GHG_INTENSITY,12.4,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,43,English revenue intensity: GHG emissions density tCO2e/RMB million of revenue 1.24,0.92
00451.HK,GCL NEWENERGY,2025,Q_E_ENERGY_INTENSITY,6,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,46,English revenue intensity: Comprehensive energy consumption intensity 0.6 tonnes of coal equivalent / RMB million of revenue,0.9
00451.HK,GCL NEWENERGY,2025,Q_E_WATER_INTENSITY,349.5,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,48,English revenue intensity: Water consumption intensity 34.95 tonnes / RMB million of revenue,0.9
00451.HK,GCL NEWENERGY,2025,Q_E_GHG_INTENSITY,12.4,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,74,English revenue intensity: Total GHG emissions intensity (Scopes 1 and 2) Energy Consumption tCO2e/ RMB million of revenue 1.24,0.92
00451.HK,GCL NEWENERGY,2025,Q_E_ENERGY_INTENSITY,6,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,74,English revenue intensity: Comprehensive energy consumption intensity Emissions tonnes of coal equivalent / RMB million of revenue 0.6,0.9
00451.HK,GCL NEWENERGY,2025,Q_E_WATER_INTENSITY,349.5,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802561.pdf,data/raw/hkex_reports/00451.HK/2025/esg_report.pdf,74,English revenue intensity: Water consumption intensity tonnes / RMB million of revenue 34.95,0.9
00467.HK,UNITEDENERGY GP,2025,Q_G_CAPITAL_ACCUMULATION,-0.8315,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043000239.pdf,data/raw/hkex_reports/00467.HK/2025/annual_report.pdf,59,"English consolidated statement derived: TOTAL EQUITY 13,184,823 13,295,380",0.94
00554.HK,HANS GP HLDGS,2025,Q_G_CAPITAL_ACCUMULATION,109.3628,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042301297.pdf,data/raw/hkex_reports/00554.HK/2025/annual_report.pdf,109,"English consolidated statement derived: TOTAL EQUITY 總權益 2,240,349 1,070,080",0.94
00579.HK,JNCEC,2025,Q_S_RD_RATE,3.67,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,8,"epetitive on-site work by 71%. Moreover, the proportion of R&D investment intensity reached 3.67%, further strengthening our innovation-driven",0.93
00579.HK,JNCEC,2025,Q_G_CAPITAL_ACCUMULATION,4.9086,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,102,"English consolidated statement derived: Total equity 39,322,664 37,482,775",0.94
00579.HK,JNCEC,2025,Q_G_REVENUE_GROWTH,1.5335,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,98,"English consolidated income statement derived: Revenue 5 20,877,049 20,561,740",0.93
00579.HK,JNCEC,2025,Q_G_OPERATING_MARGIN,23.1311,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,98,"English consolidated income statement derived: Profit from operations 4,829,087 5,261,108 | Revenue 5 20,877,049 20,561,740",0.93
00579.HK,JNCEC,2025,Q_G_OPERATING_PROFIT_GROWTH,-8.2116,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042803989.pdf,data/raw/hkex_reports/00579.HK/2025/annual_report.pdf,98,"English consolidated income statement derived: Profit from operations 4,829,087 5,261,108",0.93
