company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
603032.SH,德新科技,2025,Q_G_REVENUE_GROWTH,2,-36.4678|53.2924,7|8,,conflicting_candidates,,,,,
603050.SH,科林电气,2025,Q_G_DEBT_ASSET_RATE,3,62.03|62.0326|67.36,56|67,,conflicting_candidates,,,,,
603097.SH,江苏华辰,2025,Q_G_DEBT_ASSET_RATE,2,56.45|65.0606,93|108,,conflicting_candidates,,,,,
603105.SH,芯能科技,2025,Q_G_DEBT_ASSET_RATE,2,49.6696|49.67,79|85,,conflicting_candidates,,,,,
603185.SH,弘元绿能,2025,Q_G_DEBT_ASSET_RATE,2,53.88|53.881,68|78,,conflicting_candidates,,,,,
603191.SH,望变电气,2025,Q_G_DEBT_ASSET_RATE,2,56.95|65.5809,79|99,,conflicting_candidates,,,,,
603212.SH,赛伍技术,2025,Q_G_DEBT_ASSET_RATE,2,39.1551|39.16,27|106,,conflicting_candidates,,,,,
603312.SH,西典新能,2025,Q_G_REVENUE_GROWTH,2,3.30647|28.5162,7|8,,conflicting_candidates,,,,,
603318.SH,水发燃气,2025,Q_G_DEBT_ASSET_RATE,3,60.35|60.3521,16|78|211,,conflicting_candidates,,,,,
603318.SH,水发燃气,2025,Q_G_REVENUE_GROWTH,2,-1.52975|12.1213,7|9,,conflicting_candidates,,,,,
603333.SH,尚纬股份,2025,Q_G_DEBT_ASSET_RATE,2,37.0924|43.89,19|88,,conflicting_candidates,,,,,
603344.SH,星德胜,2025,Q_G_REVENUE_GROWTH,2,-18.4128|4.83525,8|9,,conflicting_candidates,,,,,
603393.SH,新天然气,2025,Q_G_REVENUE_GROWTH,2,3.89077|9.14613,6|8,,conflicting_candidates,,,,,
603489.SH,八方股份,2025,Q_G_REVENUE_GROWTH,2,-12.2184|-1.47067,5|6,,conflicting_candidates,,,,,
603606.SH,东方电缆,2025,Q_G_REVENUE_GROWTH,2,19.2572|462.98,6|7,,conflicting_candidates,,,,,
603619.SH,中曼石油,2025,Q_G_DEBT_ASSET_RATE,2,63.0777|63.08,97|226,,conflicting_candidates,,,,,
603628.SH,清源股份,2025,Q_G_DEBT_ASSET_RATE,4,57.9|59.8991|59.9,76|82|88,,conflicting_candidates,,,,,
603659.SH,璞泰来,2025,Q_G_DEBT_ASSET_RATE,2,52.9254|53,78|180,,conflicting_candidates,,,,,
603689.SH,皖天然气,2025,Q_G_DEBT_ASSET_RATE,3,42.96|42.961,14|79|85,,conflicting_candidates,,,,,
603693.SH,江苏新能,2025,Q_G_DEBT_ASSET_RATE,2,53.34|53.3444,18|78,,conflicting_candidates,,,,,
603706.SH,东方环宇,2025,Q_G_REVENUE_GROWTH,2,-7.77422|97.1675,6|7,,conflicting_candidates,,,,,
603727.SH,博迈科,2025,Q_G_DEBT_ASSET_RATE,3,29.0181|29.02|40.66,62|75,,conflicting_candidates,,,,,
603798.SH,康普顿,2025,Q_G_REVENUE_GROWTH,2,-10.8412|69.7139,6|7,,conflicting_candidates,,,,,
603806.SH,福斯特,2025,Q_G_DEBT_ASSET_RATE,3,19.5197|19.52,25|97|102,,conflicting_candidates,,,,,
603897.SH,长城科技,2025,Q_G_REVENUE_GROWTH,2,-3.13778|-3.07203,5|6,,conflicting_candidates,,,,,
603906.SH,龙蟠科技,2025,Q_G_DEBT_ASSET_RATE,3,74.94|79.77|79.7703,130|142,,conflicting_candidates,,,,,
603906.SH,龙蟠科技,2025,Q_G_REVENUE_GROWTH,2,-21.5471|0.842116,8|10,,conflicting_candidates,,,,,
605028.SH,世茂能源,2025,Q_G_REVENUE_GROWTH,2,-10.1229|-3.15227,5|6,,conflicting_candidates,,,,,
605117.SH,德业股份,2025,Q_S_SAFETY_INVEST_RATE,1,0.12,64,0.12,single_or_consistent,,,,,
605162.SH,新中港,2025,Q_G_DEBT_ASSET_RATE,4,28.44|28.4427|29.96,68|74|174,,conflicting_candidates,,,,,
605162.SH,新中港,2025,Q_G_REVENUE_GROWTH,2,-18.8229|-8.5774,6|7,,conflicting_candidates,,,,,
605222.SH,起帆电缆,2025,Q_G_DEBT_ASSET_RATE,3,66.6|68.4065|68.41,82|87,,conflicting_candidates,,,,,
