company_code,company_name,report_year,document_type,source_url,published_date,title
600635.SH,大众公用,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600635_20260331_Q6AE.pdf,2026-03-31,大众公用2025年可持续发展报告
600642.SH,申能股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-27/600642_20260427_ICB0.pdf,2026-04-27,申能股份有限公司2025年年度报告
600644.SH,乐山电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600644_20260418_TGU7.pdf,2026-04-18,乐山电力股份有限公司2025年年度报告全文
600674.SH,川投能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600674_20260418_SNNY.pdf,2026-04-18,四川川投能源股份有限公司2025年年度报告
600674.SH,川投能源,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/600674_20260418_KR2B.pdf,2026-04-18,川投能源2025年度可持续发展报告
600681.SH,百川能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600681_20260429_350L.pdf,2026-04-29,百川能源2025年年度报告
600688.SH,上海石化,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-19/600688_20260319_YDIX.pdf,2026-03-19,上海石化2025年年度报告
600688.SH,上海石化,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-19/600688_20260319_HSFZ.pdf,2026-03-19,上海石化2025年度环境、社会和公司治理报告
600719.SH,大连热电,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-27/600719_20260327_Y12I.pdf,2026-03-27,大连热电股份有限公司2025年年度报告
600725.SH,云维股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600725_20260429_FVLQ.pdf,2026-04-29,云维股份2025年年度报告
600725.SH,云维股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-29/600725_20260429_WQNU.pdf,2026-04-29,云维股份2025年度社会责任报告
