stock_code,company_name,published_date,title,document_type,source_url,source
['002812'].SZ,['恩捷股份'],2026-04-23,恩捷股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/b3b3b2cc-1912-4850-a013-1db6c99bfd72.PDF,SZSE
['000703'].SZ,['恒逸石化'],2026-04-15,恒逸石化：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/d1cf3d86-3007-4b83-80d3-0b837413c84e.PDF,SZSE
['002560'].SZ,['通达股份'],2026-03-31,通达股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/55376d06-ea54-4cdb-a847-9446ebc585a1.PDF,SZSE
['000966'].SZ,['长源电力'],2026-04-24,长源电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/0ec1b7b3-9c73-4ebe-96cd-9782a630fda6.PDF,SZSE
['300037'].SZ,['新宙邦'],2026-03-24,新宙邦：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-24/9902db8d-1e86-4a42-b85b-d8f0a721ddf9.PDF,SZSE
['002039'].SZ,['黔源电力'],2026-04-03,黔源电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/08b895dd-7fed-43d3-b09d-df7e6b89ba5b.PDF,SZSE
['002490'].SZ,['山东墨龙'],2026-04-01,山东墨龙：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/6e2bee29-5946-4301-9895-ac7d1174e5b6.PDF,SZSE
['000720'].SZ,['新能泰山'],2026-04-29,新能泰山：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/59929986-3982-402a-922b-c4fa8af50167.PDF,SZSE
['300568'].SZ,['星源材质'],2026-03-31,星源材质：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/f95aef58-2557-4c28-bb37-acf90fc637cf.PDF,SZSE
['002801'].SZ,['微光股份'],2026-03-27,微光股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/1bfc463d-2bad-4099-9de3-e3be2579d890.PDF,SZSE
['002300'].SZ,['太阳电缆'],2026-04-10,太阳电缆：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-10/b39d04a8-fc3d-48eb-8961-559d9ecdf35b.PDF,SZSE
['002498'].SZ,['汉缆股份'],2026-04-29,汉缆股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/465426c4-26ef-49e5-abac-f7fce81521a1.PDF,SZSE
['300062'].SZ,['中能电气'],2026-04-25,中能电气：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/8ee3e57c-7006-453e-8e3c-dcec8b3876f7.PDF,SZSE
['000690'].SZ,['宝新能源'],2026-04-21,宝新能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/4f9ccb95-957e-40e2-bc29-c80aed851941.PDF,SZSE
['000993'].SZ,['闽东电力'],2026-03-31,闽东电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/bde59dd0-8054-47c4-aecb-bb7e0e860c7d.PDF,SZSE
['000937'].SZ,['冀中能源'],2026-04-29,冀中能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/e44b0814-6036-40c4-a477-98173145ea75.PDF,SZSE
['002350'].SZ,['北京科锐'],2026-04-29,北京科锐：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/1a9512d7-e08f-4e67-acbd-8076e88ce903.PDF,SZSE
['002128'].SZ,['电投能源'],2026-04-15,电投能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-15/3355aa03-a913-46f0-bfb2-14e9d92c7283.PDF,SZSE
['300772'].SZ,['运达股份'],2026-03-24,运达股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-24/44ea4bf8-1568-493a-99f4-9437957eaf50.PDF,SZSE
