evaluation_year,report_year,stock_code,company_name,indicator_code,source_indicator_name,raw_value,historical_score,source_file,source_value_row,source_score_row
2024,2023,00686.HK,北京能源国际控股有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,83.12,1,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,23,24
2024,2023,688599.SH,天合光能股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,2.27,11.73,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,31.13,7.41,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_E_NOX_INTENSITY,NOx,0.32,3.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_E_SO2_INTENSITY,SO2,0.23,3.02,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,1698.91,0.57,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,13.97,2.22,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.53,0.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_S_RD_RATE,研发费用占比,1.44,0.13,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.48,0.23,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,688599.SH,天合光能股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,68,1.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,25,26
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,14.58,10.75,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,1.93,8.5,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_NOX_INTENSITY,NOx,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_SO2_INTENSITY,SO2,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,152.11,2.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.43,2.99,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0.01,0.02,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_S_RD_RATE,研发费用占比,5.08,0.32,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.39,0.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,600406.SH,国电南瑞科技股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,40.84,2.31,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,27,28
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,78.37,6.59,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,18.36,7.57,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_NOX_INTENSITY,NOx,4.74,2.89,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_SO2_INTENSITY,SO2,0.03,3.29,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,134.62,2.23,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.34,3.19,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,H_ENV_SAFETY_INVEST_RATE,环保/安全生产投入占比,0,0,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_S_RD_RATE,研发费用占比,0.13,0.06,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_S_DIVIDEND_PER_SHARE,现金分红,0.05,0.08,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,01798.HK,中国大唐集团新能源股份有限公司,Q_G_DEBT_ASSET_RATE,资产负债率,64.87,1.73,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,29,30
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_GHG_INTENSITY,温室气体排放强度,25.86,8.84,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_ENERGY_INTENSITY,综合能源消耗强度,11.62,7.91,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_NOX_INTENSITY,NOx,14.89,2.63,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_SO2_INTENSITY,SO2,0.66,2.94,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_WATER_INTENSITY,新鲜水资源消耗强度,124.07,2.25,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
2024,2023,03633.HK,中裕能源控股有限公司,Q_E_GENERAL_WASTE_INTENSITY,一般固废排放强度,0.14,3.25,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,31,32
