evaluation_year,report_year,historical_rank,stock_code,company_abbr,company_name,contact_name,company_city,exchange,st_flag,current_snapshot_status,historical_esg_score,source_file,source_value_row,source_score_row
2024,2023,124,03337.HK,安东油田服务,安东油田服务集团,马燕,,HKEX,False,not_applicable,43.37,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,249,250
2024,2023,125,01713.HK,四川能投发展,四川能投发展股份有限公司,李天平,,HKEX,False,not_applicable,43.33,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,251,252
2024,2023,126,002531.SZ,天顺风能,天顺风能(苏州)股份有限公司,马燕,,SZSE,False,matched,43.09,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,253,254
2024,2023,127,600089.SH,特变电工,特变电工股份有限公司,李天平,,SSE,False,matched,43.07,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,255,256
2024,2023,128,000723.SZ,美锦能源,山西美锦能源股份有限公司,马燕,,SZSE,False,matched,43.02,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,257,258
2024,2023,129,08631.HK,申港控股,申港控股有限公司,李天平,,HKEX,False,not_applicable,42.92,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,259,260
2024,2023,130,688006.SH,杭可科技,浙江杭可科技股份有限公司,马燕,,SSE,False,matched,42.55,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,261,262
2024,2023,131,000875.SZ,吉电股份,吉林电力股份有限公司,李天平,,SZSE,False,matched,42.53,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,263,264
2024,2023,132,300626.SZ,华瑞股份,华瑞电器股份有限公司,马燕,,SZSE,False,matched,42.49,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,265,266
2024,2023,133,688778.SH,厦钨新能,厦门厦钨新能源材料股份有限公司,李天平,,SSE,False,matched,42.35,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,267,268
2024,2023,134,00353.HK,能源国际投资,能源国际投资控股有限公司,马燕,,HKEX,False,not_applicable,42.34,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,269,270
2024,2023,135,600537.SH,亿晶光电,亿晶光电科技股份有限公司,李天平,,SSE,False,matched,42.24,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,271,272
2024,2023,136,01205.HK,中信资源,中信资源控股有限公司,马燕,,HKEX,False,not_applicable,42.18,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,273,274
2024,2023,137,300185.SZ,通裕重工,通裕重工股份有限公司,李天平,,SZSE,False,matched,42.17,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,275,276
2024,2023,138,00346.HK,延长石油国际,延长石油国际有限公司,马燕,,HKEX,False,not_applicable,42.05,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,277,278
2024,2023,139,00295.HK,江山控股,江山控股有限公司,李天平,,HKEX,False,not_applicable,41.95,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,279,280
2024,2023,140,600011.SH,华能国际,华能国际电力股份有限公司,郭海飞,,SSE,False,matched,41.89,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,281,282
2024,2023,141,00607.HK,丰盛控股,丰盛控股有限公司,李天平,,HKEX,False,not_applicable,41.87,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,283,284
2024,2023,142,01381.HK,粤丰环保,粤丰环保电力有限公司,马燕,,HKEX,False,not_applicable,41.75,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,285,286
2024,2023,143,688707.SH,振华新材,贵州振华新材料股份有限公司,李天平,,SSE,False,matched,41.62,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,287,288
